commodity,region,year,asset,technology,installed,supply
electricity,USA,2020,0,gasboiler,2020,0.00000000000
electricity,USA,2020,1,heatpump,2020,0.00000000000
electricity,USA,2025,0,gasboiler,2020,0.00000000000
electricity,USA,2025,1,heatpump,2020,0.00000000000
gas,USA,2020,0,gasboiler,2020,0.00000000000
gas,USA,2020,1,heatpump,2020,0.00000000000
gas,USA,2025,0,gasboiler,2020,0.00000000000
gas,USA,2025,1,heatpump,2020,0.00000000000
heat,USA,2020,0,gasboiler,2020,10.00000000000
heat,USA,2020,1,heatpump,2020,0.00000000000
heat,USA,2025,0,gasboiler,2020,2.77777777778
heat,USA,2025,1,heatpump,2020,10.55555555556
CO2f,USA,2020,0,gasboiler,2020,647.05882350000
CO2f,USA,2020,1,heatpump,2020,0.00000000000
CO2f,USA,2025,0,gasboiler,2020,179.73856208333
CO2f,USA,2025,1,heatpump,2020,0.00000000000
