asset,year,technology,region,installed,capacity
0,2032,gasboiler,R1,2024,2.32550000000
0,2033,gasboiler,R1,2024,2.32550000000
0,2034,gasboiler,R1,2024,2.32550000000
0,2035,gasboiler,R1,2024,2.32550000000
1,2032,gasboiler,R2,2024,2.32550000000
1,2033,gasboiler,R2,2024,2.32550000000
1,2034,gasboiler,R2,2024,2.32550000000
1,2035,gasboiler,R2,2024,2.32550000000
2,2032,heatpump,R1,2022,2.28590000000
2,2033,heatpump,R1,2022,2.28590000000
3,2032,heatpump,R1,2024,4.96040000000
3,2033,heatpump,R1,2024,4.96040000000
3,2034,heatpump,R1,2024,4.96040000000
3,2035,heatpump,R1,2024,4.96040000000
4,2032,heatpump,R1,2026,2.28590000000
4,2033,heatpump,R1,2026,2.28590000000
4,2034,heatpump,R1,2026,2.28590000000
4,2035,heatpump,R1,2026,2.28590000000
4,2036,heatpump,R1,2026,2.28590000000
4,2037,heatpump,R1,2026,2.28590000000
5,2032,heatpump,R1,2028,2.28590000000
5,2033,heatpump,R1,2028,2.28590000000
5,2034,heatpump,R1,2028,2.28590000000
5,2035,heatpump,R1,2028,2.28590000000
5,2036,heatpump,R1,2028,2.28590000000
5,2037,heatpump,R1,2028,2.28590000000
5,2038,heatpump,R1,2028,2.28590000000
5,2039,heatpump,R1,2028,2.28590000000
6,2032,heatpump,R1,2030,16.71570000000
6,2033,heatpump,R1,2030,16.71570000000
6,2034,heatpump,R1,2030,16.71570000000
6,2035,heatpump,R1,2030,16.71570000000
6,2036,heatpump,R1,2030,16.71570000000
6,2037,heatpump,R1,2030,16.71570000000
6,2038,heatpump,R1,2030,16.71570000000
6,2039,heatpump,R1,2030,16.71570000000
6,2040,heatpump,R1,2030,16.71570000000
6,2041,heatpump,R1,2030,16.71570000000
7,2034,heatpump,R1,2032,4.57170000000
7,2035,heatpump,R1,2032,4.57170000000
7,2036,heatpump,R1,2032,4.57170000000
7,2037,heatpump,R1,2032,4.57170000000
7,2038,heatpump,R1,2032,4.57170000000
7,2039,heatpump,R1,2032,4.57170000000
7,2040,heatpump,R1,2032,4.57170000000
7,2041,heatpump,R1,2032,4.57170000000
7,2042,heatpump,R1,2032,4.57170000000
7,2043,heatpump,R1,2032,4.57170000000
8,2032,heatpump,R2,2022,2.28590000000
8,2033,heatpump,R2,2022,2.28590000000
9,2032,heatpump,R2,2024,4.96040000000
9,2033,heatpump,R2,2024,4.96040000000
9,2034,heatpump,R2,2024,4.96040000000
9,2035,heatpump,R2,2024,4.96040000000
10,2032,heatpump,R2,2026,2.28590000000
10,2033,heatpump,R2,2026,2.28590000000
10,2034,heatpump,R2,2026,2.28590000000
10,2035,heatpump,R2,2026,2.28590000000
10,2036,heatpump,R2,2026,2.28590000000
10,2037,heatpump,R2,2026,2.28590000000
11,2032,heatpump,R2,2028,2.28590000000
11,2033,heatpump,R2,2028,2.28590000000
11,2034,heatpump,R2,2028,2.28590000000
11,2035,heatpump,R2,2028,2.28590000000
11,2036,heatpump,R2,2028,2.28590000000
11,2037,heatpump,R2,2028,2.28590000000
11,2038,heatpump,R2,2028,2.28590000000
11,2039,heatpump,R2,2028,2.28590000000
12,2032,heatpump,R2,2030,16.71570000000
12,2033,heatpump,R2,2030,16.71570000000
12,2034,heatpump,R2,2030,16.71570000000
12,2035,heatpump,R2,2030,16.71570000000
12,2036,heatpump,R2,2030,16.71570000000
12,2037,heatpump,R2,2030,16.71570000000
12,2038,heatpump,R2,2030,16.71570000000
12,2039,heatpump,R2,2030,16.71570000000
12,2040,heatpump,R2,2030,16.71570000000
12,2041,heatpump,R2,2030,16.71570000000
13,2034,heatpump,R2,2032,4.57170000000
13,2035,heatpump,R2,2032,4.57170000000
13,2036,heatpump,R2,2032,4.57170000000
13,2037,heatpump,R2,2032,4.57170000000
13,2038,heatpump,R2,2032,4.57170000000
13,2039,heatpump,R2,2032,4.57170000000
13,2040,heatpump,R2,2032,4.57170000000
13,2041,heatpump,R2,2032,4.57170000000
13,2042,heatpump,R2,2032,4.57170000000
13,2043,heatpump,R2,2032,4.57170000000
