asset,year,region,technology,installed,capacity
0,2020,R1,gasboiler,2020,10
0,2022,R1,gasboiler,2020,8
0,2024,R1,gasboiler,2020,6
0,2025,R1,gasboiler,2020,5
0,2026,R1,gasboiler,2020,4
0,2028,R1,gasboiler,2020,2
1,2022,R1,heatpump,2020,11
1,2024,R1,heatpump,2020,11
1,2025,R1,heatpump,2020,11
1,2026,R1,heatpump,2020,11
1,2028,R1,heatpump,2020,11
1,2030,R1,heatpump,2020,11
1,2031,R1,heatpump,2020,11
2,2024,R1,heatpump,2022,4
2,2025,R1,heatpump,2022,4
2,2026,R1,heatpump,2022,4
2,2028,R1,heatpump,2022,4
2,2030,R1,heatpump,2022,4
2,2031,R1,heatpump,2022,4
2,2032,R1,heatpump,2022,4
2,2033,R1,heatpump,2022,4
3,2026,R1,heatpump,2024,4
3,2028,R1,heatpump,2024,4
3,2030,R1,heatpump,2024,4
3,2031,R1,heatpump,2024,4
3,2032,R1,heatpump,2024,4
3,2033,R1,heatpump,2024,4
3,2034,R1,heatpump,2024,4
3,2035,R1,heatpump,2024,4
4,2028,R1,heatpump,2026,4
4,2030,R1,heatpump,2026,4
4,2031,R1,heatpump,2026,4
4,2032,R1,heatpump,2026,4
4,2033,R1,heatpump,2026,4
4,2034,R1,heatpump,2026,4
4,2035,R1,heatpump,2026,4
4,2036,R1,heatpump,2026,4
4,2037,R1,heatpump,2026,4
5,2030,R1,heatpump,2028,5
5,2031,R1,heatpump,2028,5
5,2032,R1,heatpump,2028,5
5,2033,R1,heatpump,2028,5
5,2034,R1,heatpump,2028,5
5,2035,R1,heatpump,2028,5
5,2036,R1,heatpump,2028,5
5,2037,R1,heatpump,2028,5
5,2038,R1,heatpump,2028,5
5,2039,R1,heatpump,2028,5
6,2032,R1,heatpump,2030,13
6,2033,R1,heatpump,2030,13
6,2034,R1,heatpump,2030,13
6,2035,R1,heatpump,2030,13
6,2036,R1,heatpump,2030,13
6,2037,R1,heatpump,2030,13
6,2038,R1,heatpump,2030,13
6,2039,R1,heatpump,2030,13
6,2040,R1,heatpump,2030,13
6,2041,R1,heatpump,2030,13
7,2034,R1,heatpump,2032,6
7,2035,R1,heatpump,2032,6
7,2036,R1,heatpump,2032,6
7,2037,R1,heatpump,2032,6
7,2038,R1,heatpump,2032,6
7,2039,R1,heatpump,2032,6
7,2040,R1,heatpump,2032,6
7,2041,R1,heatpump,2032,6
7,2042,R1,heatpump,2032,6
7,2043,R1,heatpump,2032,6
8,2036,R1,heatpump,2034,6
8,2037,R1,heatpump,2034,6
8,2038,R1,heatpump,2034,6
8,2039,R1,heatpump,2034,6
8,2040,R1,heatpump,2034,6
8,2041,R1,heatpump,2034,6
8,2042,R1,heatpump,2034,6
8,2043,R1,heatpump,2034,6
8,2044,R1,heatpump,2034,6
8,2045,R1,heatpump,2034,6
9,2038,R1,heatpump,2036,6
9,2039,R1,heatpump,2036,6
9,2040,R1,heatpump,2036,6
9,2041,R1,heatpump,2036,6
9,2042,R1,heatpump,2036,6
9,2043,R1,heatpump,2036,6
9,2044,R1,heatpump,2036,6
9,2045,R1,heatpump,2036,6
9,2046,R1,heatpump,2036,6
9,2047,R1,heatpump,2036,6
10,2040,R1,heatpump,2038,8
10,2041,R1,heatpump,2038,8
10,2042,R1,heatpump,2038,8
10,2043,R1,heatpump,2038,8
10,2044,R1,heatpump,2038,8
10,2045,R1,heatpump,2038,8
10,2046,R1,heatpump,2038,8
10,2047,R1,heatpump,2038,8
10,2048,R1,heatpump,2038,8
10,2049,R1,heatpump,2038,8
11,2020,R2,gasboiler,2020,10
11,2022,R2,gasboiler,2020,8
11,2024,R2,gasboiler,2020,6
11,2025,R2,gasboiler,2020,5
11,2026,R2,gasboiler,2020,4
11,2028,R2,gasboiler,2020,2
12,2022,R2,heatpump,2020,11
12,2024,R2,heatpump,2020,11
12,2025,R2,heatpump,2020,11
12,2026,R2,heatpump,2020,11
12,2028,R2,heatpump,2020,11
12,2030,R2,heatpump,2020,11
12,2031,R2,heatpump,2020,11
13,2024,R2,heatpump,2022,4
13,2025,R2,heatpump,2022,4
13,2026,R2,heatpump,2022,4
13,2028,R2,heatpump,2022,4
13,2030,R2,heatpump,2022,4
13,2031,R2,heatpump,2022,4
13,2032,R2,heatpump,2022,4
13,2033,R2,heatpump,2022,4
14,2026,R2,heatpump,2024,4
14,2028,R2,heatpump,2024,4
14,2030,R2,heatpump,2024,4
14,2031,R2,heatpump,2024,4
14,2032,R2,heatpump,2024,4
14,2033,R2,heatpump,2024,4
14,2034,R2,heatpump,2024,4
14,2035,R2,heatpump,2024,4
15,2028,R2,heatpump,2026,4
15,2030,R2,heatpump,2026,4
15,2031,R2,heatpump,2026,4
15,2032,R2,heatpump,2026,4
15,2033,R2,heatpump,2026,4
15,2034,R2,heatpump,2026,4
15,2035,R2,heatpump,2026,4
15,2036,R2,heatpump,2026,4
15,2037,R2,heatpump,2026,4
16,2030,R2,heatpump,2028,5
16,2031,R2,heatpump,2028,5
16,2032,R2,heatpump,2028,5
16,2033,R2,heatpump,2028,5
16,2034,R2,heatpump,2028,5
16,2035,R2,heatpump,2028,5
16,2036,R2,heatpump,2028,5
16,2037,R2,heatpump,2028,5
16,2038,R2,heatpump,2028,5
16,2039,R2,heatpump,2028,5
17,2032,R2,heatpump,2030,13
17,2033,R2,heatpump,2030,13
17,2034,R2,heatpump,2030,13
17,2035,R2,heatpump,2030,13
17,2036,R2,heatpump,2030,13
17,2037,R2,heatpump,2030,13
17,2038,R2,heatpump,2030,13
17,2039,R2,heatpump,2030,13
17,2040,R2,heatpump,2030,13
17,2041,R2,heatpump,2030,13
18,2034,R2,heatpump,2032,6
18,2035,R2,heatpump,2032,6
18,2036,R2,heatpump,2032,6
18,2037,R2,heatpump,2032,6
18,2038,R2,heatpump,2032,6
18,2039,R2,heatpump,2032,6
18,2040,R2,heatpump,2032,6
18,2041,R2,heatpump,2032,6
18,2042,R2,heatpump,2032,6
18,2043,R2,heatpump,2032,6
19,2036,R2,heatpump,2034,6
19,2037,R2,heatpump,2034,6
19,2038,R2,heatpump,2034,6
19,2039,R2,heatpump,2034,6
19,2040,R2,heatpump,2034,6
19,2041,R2,heatpump,2034,6
19,2042,R2,heatpump,2034,6
19,2043,R2,heatpump,2034,6
19,2044,R2,heatpump,2034,6
19,2045,R2,heatpump,2034,6
20,2038,R2,heatpump,2036,6
20,2039,R2,heatpump,2036,6
20,2040,R2,heatpump,2036,6
20,2041,R2,heatpump,2036,6
20,2042,R2,heatpump,2036,6
20,2043,R2,heatpump,2036,6
20,2044,R2,heatpump,2036,6
20,2045,R2,heatpump,2036,6
20,2046,R2,heatpump,2036,6
20,2047,R2,heatpump,2036,6
21,2040,R2,heatpump,2038,8
21,2041,R2,heatpump,2038,8
21,2042,R2,heatpump,2038,8
21,2043,R2,heatpump,2038,8
21,2044,R2,heatpump,2038,8
21,2045,R2,heatpump,2038,8
21,2046,R2,heatpump,2038,8
21,2047,R2,heatpump,2038,8
21,2048,R2,heatpump,2038,8
21,2049,R2,heatpump,2038,8
