asset,year,region,technology,installed,capacity
0,2020,R1,gasCCGT,2020,1
0,2025,R1,gasCCGT,2020,1
1,2025,R1,solarPV,2020,10
1,2030,R1,solarPV,2020,10
1,2035,R1,solarPV,2020,10
1,2040,R1,solarPV,2020,10
1,2045,R1,solarPV,2020,10
1,2049,R1,solarPV,2020,10
2,2030,R1,solarPV,2025,10
2,2035,R1,solarPV,2025,10
2,2040,R1,solarPV,2025,10
2,2045,R1,solarPV,2025,10
2,2049,R1,solarPV,2025,10
2,2050,R1,solarPV,2025,10
2,2054,R1,solarPV,2025,10
3,2035,R1,solarPV,2030,6
3,2040,R1,solarPV,2030,6
3,2045,R1,solarPV,2030,6
3,2049,R1,solarPV,2030,6
3,2050,R1,solarPV,2030,6
3,2054,R1,solarPV,2030,6
3,2055,R1,solarPV,2030,6
3,2059,R1,solarPV,2030,6
4,2025,R1,windturbine,2020,6
4,2030,R1,windturbine,2020,6
4,2035,R1,windturbine,2020,6
4,2040,R1,windturbine,2020,6
4,2045,R1,windturbine,2020,6
4,2049,R1,windturbine,2020,6
5,2030,R1,windturbine,2025,4
5,2035,R1,windturbine,2025,4
5,2040,R1,windturbine,2025,4
5,2045,R1,windturbine,2025,4
5,2049,R1,windturbine,2025,4
5,2050,R1,windturbine,2025,4
5,2054,R1,windturbine,2025,4
