asset,year,region,technology,installed,capacity
0,2020,R1,gasCCGT,2020,1
0,2025,R1,gasCCGT,2020,1
2,2025,R1,solarPV,2020,10
2,2030,R1,solarPV,2020,10
2,2035,R1,solarPV,2020,10
2,2040,R1,solarPV,2020,10
2,2045,R1,solarPV,2020,10
2,2049,R1,solarPV,2020,10
3,2030,R1,solarPV,2025,10
3,2035,R1,solarPV,2025,10
3,2040,R1,solarPV,2025,10
3,2045,R1,solarPV,2025,10
3,2049,R1,solarPV,2025,10
3,2050,R1,solarPV,2025,10
3,2054,R1,solarPV,2025,10
4,2035,R1,solarPV,2030,6
4,2040,R1,solarPV,2030,6
4,2045,R1,solarPV,2030,6
4,2049,R1,solarPV,2030,6
4,2050,R1,solarPV,2030,6
4,2054,R1,solarPV,2030,6
4,2055,R1,solarPV,2030,6
4,2059,R1,solarPV,2030,6
5,2040,R1,solarPV,2035,5
5,2045,R1,solarPV,2035,5
5,2049,R1,solarPV,2035,5
5,2050,R1,solarPV,2035,5
5,2054,R1,solarPV,2035,5
5,2055,R1,solarPV,2035,5
5,2059,R1,solarPV,2035,5
5,2060,R1,solarPV,2035,5
5,2064,R1,solarPV,2035,5
6,2045,R1,solarPV,2040,7
6,2049,R1,solarPV,2040,7
6,2050,R1,solarPV,2040,7
6,2054,R1,solarPV,2040,7
6,2055,R1,solarPV,2040,7
6,2059,R1,solarPV,2040,7
6,2060,R1,solarPV,2040,7
6,2064,R1,solarPV,2040,7
6,2065,R1,solarPV,2040,7
6,2069,R1,solarPV,2040,7
7,2050,R1,solarPV,2045,10
7,2054,R1,solarPV,2045,10
7,2055,R1,solarPV,2045,10
7,2059,R1,solarPV,2045,10
7,2060,R1,solarPV,2045,10
7,2064,R1,solarPV,2045,10
7,2065,R1,solarPV,2045,10
7,2069,R1,solarPV,2045,10
7,2070,R1,solarPV,2045,10
7,2074,R1,solarPV,2045,10
8,2055,R1,solarPV,2050,10
8,2059,R1,solarPV,2050,10
8,2060,R1,solarPV,2050,10
8,2064,R1,solarPV,2050,10
8,2065,R1,solarPV,2050,10
8,2069,R1,solarPV,2050,10
8,2070,R1,solarPV,2050,10
8,2074,R1,solarPV,2050,10
8,2075,R1,solarPV,2050,10
8,2079,R1,solarPV,2050,10
9,2025,R1,windturbine,2020,6
9,2030,R1,windturbine,2020,6
9,2035,R1,windturbine,2020,6
9,2040,R1,windturbine,2020,6
9,2045,R1,windturbine,2020,6
9,2049,R1,windturbine,2020,6
10,2030,R1,windturbine,2025,4
10,2035,R1,windturbine,2025,4
10,2040,R1,windturbine,2025,4
10,2045,R1,windturbine,2025,4
10,2049,R1,windturbine,2025,4
10,2050,R1,windturbine,2025,4
10,2054,R1,windturbine,2025,4
11,2050,R1,windturbine,2045,10
11,2054,R1,windturbine,2045,10
11,2055,R1,windturbine,2045,10
11,2059,R1,windturbine,2045,10
11,2060,R1,windturbine,2045,10
11,2064,R1,windturbine,2045,10
11,2065,R1,windturbine,2045,10
11,2069,R1,windturbine,2045,10
11,2070,R1,windturbine,2045,10
11,2074,R1,windturbine,2045,10
12,2055,R1,windturbine,2050,6
12,2059,R1,windturbine,2050,6
12,2060,R1,windturbine,2050,6
12,2064,R1,windturbine,2050,6
12,2065,R1,windturbine,2050,6
12,2069,R1,windturbine,2050,6
12,2070,R1,windturbine,2050,6
12,2074,R1,windturbine,2050,6
12,2075,R1,windturbine,2050,6
12,2079,R1,windturbine,2050,6
