,asset,year,region,installed,technology,capacity
28,2,2050,R1,2025,gasCCGT,3.00000000000
29,2,2054,R1,2025,gasCCGT,3.00000000000
30,2,2055,R1,2025,gasCCGT,3.00000000000
31,2,2059,R1,2025,gasCCGT,3.00000000000
32,2,2060,R1,2025,gasCCGT,3.00000000000
33,2,2064,R1,2025,gasCCGT,3.00000000000
41,3,2050,R1,2025,solarPV,2.40000000000
42,3,2054,R1,2025,solarPV,2.40000000000
54,4,2050,R1,2030,solarPV,6.00000000000
55,4,2054,R1,2030,solarPV,6.00000000000
56,4,2055,R1,2030,solarPV,6.00000000000
57,4,2059,R1,2030,solarPV,6.00000000000
67,5,2050,R1,2035,gasCCGT,0.72440000000
68,5,2054,R1,2035,gasCCGT,0.72440000000
69,5,2055,R1,2035,gasCCGT,0.72440000000
70,5,2059,R1,2035,gasCCGT,0.72440000000
71,5,2060,R1,2035,gasCCGT,0.72440000000
72,5,2064,R1,2035,gasCCGT,0.72440000000
73,5,2065,R1,2035,gasCCGT,0.72440000000
74,5,2074,R1,2035,gasCCGT,0.72440000000
80,6,2050,R1,2035,solarPV,10.00000000000
81,6,2054,R1,2035,solarPV,10.00000000000
82,6,2055,R1,2035,solarPV,10.00000000000
83,6,2059,R1,2035,solarPV,10.00000000000
84,6,2060,R1,2035,solarPV,10.00000000000
85,6,2064,R1,2035,solarPV,10.00000000000
93,7,2050,R1,2035,windturbine,6.75000000000
94,7,2054,R1,2035,windturbine,6.75000000000
95,7,2055,R1,2035,windturbine,6.75000000000
96,7,2059,R1,2035,windturbine,6.75000000000
97,7,2060,R1,2035,windturbine,6.75000000000
98,7,2064,R1,2035,windturbine,6.75000000000
106,8,2050,R1,2045,solarPV,16.91000000000
107,8,2054,R1,2045,solarPV,16.91000000000
108,8,2055,R1,2045,solarPV,16.91000000000
109,8,2059,R1,2045,solarPV,16.91000000000
110,8,2060,R1,2045,solarPV,16.91000000000
111,8,2064,R1,2045,solarPV,16.91000000000
112,8,2065,R1,2045,solarPV,16.91000000000
113,8,2074,R1,2045,solarPV,16.91000000000
119,9,2050,R1,2045,windturbine,3.56000000000
120,9,2054,R1,2045,windturbine,3.56000000000
121,9,2055,R1,2045,windturbine,3.56000000000
122,9,2059,R1,2045,windturbine,3.56000000000
123,9,2060,R1,2045,windturbine,3.56000000000
124,9,2064,R1,2045,windturbine,3.56000000000
125,9,2065,R1,2045,windturbine,3.56000000000
126,9,2074,R1,2045,windturbine,3.56000000000
134,10,2055,R1,2050,solarPV,2.40000000000
135,10,2059,R1,2050,solarPV,2.40000000000
136,10,2060,R1,2050,solarPV,2.40000000000
137,10,2064,R1,2050,solarPV,2.40000000000
138,10,2065,R1,2050,solarPV,2.40000000000
139,10,2074,R1,2050,solarPV,2.40000000000
140,10,2075,R1,2050,solarPV,2.40000000000
141,10,2079,R1,2050,solarPV,2.40000000000
