timeslice,commodity,region,prices,year
"('all-year', 'all-week', 'night')",electricity,R1,3.64530000000,2020
"('all-year', 'all-week', 'night')",gas,R1,3.31390000000,2020
"('all-year', 'all-week', 'morning')",electricity,R1,3.64530000000,2020
"('all-year', 'all-week', 'morning')",gas,R1,3.31390000000,2020
"('all-year', 'all-week', 'afternoon')",electricity,R1,3.64530000000,2020
"('all-year', 'all-week', 'afternoon')",gas,R1,3.31390000000,2020
"('all-year', 'all-week', 'early-peak')",electricity,R1,3.64530000000,2020
"('all-year', 'all-week', 'early-peak')",gas,R1,3.31390000000,2020
"('all-year', 'all-week', 'late-peak')",electricity,R1,3.64530000000,2020
"('all-year', 'all-week', 'late-peak')",gas,R1,3.31390000000,2020
"('all-year', 'all-week', 'evening')",electricity,R1,3.64530000000,2020
"('all-year', 'all-week', 'evening')",gas,R1,3.31390000000,2020
"('all-year', 'all-week', 'night')",electricity,R1,1.64770000000,2025
"('all-year', 'all-week', 'night')",gas,R1,0.83130000000,2025
"('all-year', 'all-week', 'night')",heat,R1,1.03490000000,2025
"('all-year', 'all-week', 'night')",CO2f,R1,0.10850000000,2025
"('all-year', 'all-week', 'morning')",electricity,R1,2.52510000000,2025
"('all-year', 'all-week', 'morning')",gas,R1,1.85410000000,2025
"('all-year', 'all-week', 'morning')",heat,R1,1.57840000000,2025
"('all-year', 'all-week', 'morning')",CO2f,R1,0.10850000000,2025
"('all-year', 'all-week', 'afternoon')",electricity,R1,1.64770000000,2025
"('all-year', 'all-week', 'afternoon')",gas,R1,0.83130000000,2025
"('all-year', 'all-week', 'afternoon')",heat,R1,1.03490000000,2025
"('all-year', 'all-week', 'afternoon')",CO2f,R1,0.10850000000,2025
"('all-year', 'all-week', 'early-peak')",electricity,R1,2.52510000000,2025
"('all-year', 'all-week', 'early-peak')",gas,R1,1.85410000000,2025
"('all-year', 'all-week', 'early-peak')",heat,R1,1.57840000000,2025
"('all-year', 'all-week', 'early-peak')",CO2f,R1,0.10850000000,2025
"('all-year', 'all-week', 'late-peak')",electricity,R1,5.37180000000,2025
"('all-year', 'all-week', 'late-peak')",gas,R1,7.35040000000,2025
"('all-year', 'all-week', 'late-peak')",heat,R1,3.31280000000,2025
"('all-year', 'all-week', 'late-peak')",CO2f,R1,0.10850000000,2025
