technology,year,region,agent,type,sector,capacity
gasboiler,2020,R1,A1,retrofit,residential,10.00000000000
gasCCGT,2020,R1,A1,retrofit,power,1.00000000000
gassupply1,2020,R1,A1,retrofit,gas,15.00000000000
gasboiler,2025,R1,A1,retrofit,residential,5.00000000000
heatpump,2025,R1,A1,retrofit,residential,19.00000000000
gasCCGT,2025,R1,A1,retrofit,power,4.00000000000
windturbine,2025,R1,A1,retrofit,power,10.00000000000
gassupply1,2025,R1,A1,retrofit,gas,15.00000000000
gasboiler,2030,R1,A1,retrofit,residential,3.10000000000
heatpump,2030,R1,A1,retrofit,residential,26.90000000000
gasCCGT,2030,R1,A1,retrofit,power,7.51110000000
windturbine,2030,R1,A1,retrofit,power,10.00000000000
gassupply1,2030,R1,A1,retrofit,gas,16.53910000000
gasboiler,2035,R1,A1,retrofit,residential,3.10000000000
heatpump,2035,R1,A1,retrofit,residential,32.90000000000
gasCCGT,2035,R1,A1,retrofit,power,10.17780000000
windturbine,2035,R1,A1,retrofit,power,10.00000000000
gassupply1,2035,R1,A1,retrofit,gas,20.99240000000
heatpump,2040,R1,A1,retrofit,residential,42.00000000000
gasCCGT,2040,R1,A1,retrofit,power,10.17780000000
windturbine,2040,R1,A1,retrofit,power,19.10000000000
gassupply1,2040,R1,A1,retrofit,gas,20.99240000000
heatpump,2045,R1,A1,retrofit,residential,48.00000000000
gasCCGT,2045,R1,A1,retrofit,power,10.17780000000
windturbine,2045,R1,A1,retrofit,power,25.10000000000
gassupply1,2045,R1,A1,retrofit,gas,20.99240000000
heatpump,2050,R1,A1,retrofit,residential,54.00000000000
gasCCGT,2050,R1,A1,retrofit,power,10.17780000000
windturbine,2050,R1,A1,retrofit,power,31.10000000000
gassupply1,2050,R1,A1,retrofit,gas,20.99240000000
