,RegionName,ProcessName,Timeslice,electricity,gas,heat,CO2f,wind,cook
0,R1,gasboiler,1,0,0,3,0,0,2
1,R1,gasboiler,2,0,0,4.5,0,0,3
2,R1,gasboiler,3,0,0,3,0,0,2.5
3,R1,gasboiler,4,0,0,4.5,0,0,4
4,R1,gasboiler,5,0,0,9,0,0,6
5,R1,gasboiler,6,0,0,6,0,0,7
6,R1,gasboiler,7,0,0,5,0,0,4
7,R1,gasboiler,8,0,0,5,0,0,4
8,R2,gasboiler,1,0,0,3,0,0,2
9,R2,gasboiler,2,0,0,4.5,0,0,3
10,R2,gasboiler,3,0,0,3,0,0,3
11,R2,gasboiler,4,0,0,4.5,0,0,4
12,R2,gasboiler,5,0,0,9,0,0,4
13,R2,gasboiler,6,0,0,6,0,0,2
14,R2,gasboiler,7,0,0,5,0,0,1
15,R2,gasboiler,8,0,0,5,0,0,2
