timeslice,commodity,year,asset,region,month,day,hour,technology,installed,supply
0,heat,2030,1,R1,all-year,all-week,night,heatpump,2020,1.66670000000
0,heat,2035,0,R1,all-year,all-week,night,gasboiler,2030,0.40000000000
0,heat,2035,2,R1,all-year,all-week,night,heatpump,2030,1.60000000000
0,CO2f,2035,0,R1,all-year,all-week,night,gasboiler,2030,25.88400000000
1,heat,2030,1,R1,all-year,all-week,morning,heatpump,2020,2.50000000000
1,heat,2035,0,R1,all-year,all-week,morning,gasboiler,2030,0.60000000000
1,heat,2035,2,R1,all-year,all-week,morning,heatpump,2030,2.40000000000
1,CO2f,2035,0,R1,all-year,all-week,morning,gasboiler,2030,38.82600000000
2,heat,2030,1,R1,all-year,all-week,afternoon,heatpump,2020,1.66670000000
2,heat,2035,0,R1,all-year,all-week,afternoon,gasboiler,2030,0.40000000000
2,heat,2035,2,R1,all-year,all-week,afternoon,heatpump,2030,1.60000000000
2,CO2f,2035,0,R1,all-year,all-week,afternoon,gasboiler,2030,25.88400000000
3,heat,2030,1,R1,all-year,all-week,early-peak,heatpump,2020,2.50000000000
3,heat,2035,0,R1,all-year,all-week,early-peak,gasboiler,2030,0.60000000000
3,heat,2035,2,R1,all-year,all-week,early-peak,heatpump,2030,2.40000000000
3,CO2f,2035,0,R1,all-year,all-week,early-peak,gasboiler,2030,38.82600000000
4,heat,2030,1,R1,all-year,all-week,late-peak,heatpump,2020,5.00000000000
4,heat,2035,0,R1,all-year,all-week,late-peak,gasboiler,2030,1.20000000000
4,heat,2035,2,R1,all-year,all-week,late-peak,heatpump,2030,4.80000000000
4,CO2f,2035,0,R1,all-year,all-week,late-peak,gasboiler,2030,77.65200000000
5,heat,2030,1,R1,all-year,all-week,evening,heatpump,2020,3.33330000000
5,heat,2035,0,R1,all-year,all-week,evening,gasboiler,2030,0.80000000000
5,heat,2035,2,R1,all-year,all-week,evening,heatpump,2030,3.20000000000
5,CO2f,2035,0,R1,all-year,all-week,evening,gasboiler,2030,51.76800000000
