technology,dst_region,region,agent,sector,type,year,capacity
gasboiler,R1,R1,A1,residential,newcapa,2020,10.00000000000
gasboiler,R2,R2,A1,residential,newcapa,2020,10.00000000000
gasCCGT,R1,R1,A1,power,newcapa,2020,1.00000000000
gasCCGT,R2,R2,A1,power,newcapa,2020,1.00000000000
gassupply1,R1,R1,A1,gas,newcapa,2020,15.00000000000
gassupply1,R2,R2,A1,gas,newcapa,2020,15.00000000000
gasboiler,R1,R1,A1,residential,newcapa,2022,8.00000000000
heatpump,R1,R1,A1,residential,newcapa,2022,11.00000000000
gasboiler,R2,R2,A1,residential,newcapa,2022,8.00000000000
heatpump,R2,R2,A1,residential,newcapa,2022,11.00000000000
gasCCGT,R1,R1,A1,power,newcapa,2022,1.00000000000
windturbine,R1,R1,A1,power,newcapa,2022,8.77320000000
gasCCGT,R2,R2,A1,power,newcapa,2022,1.00000000000
windturbine,R2,R2,A1,power,newcapa,2022,8.77320000000
gasboiler,R1,R1,A1,residential,newcapa,2024,6.00000000000
heatpump,R1,R1,A1,residential,newcapa,2024,11.00000000000
heatpump,R1,R1,A1,residential,newcapa,2024,4.00000000000
gasboiler,R2,R2,A1,residential,newcapa,2024,6.00000000000
heatpump,R2,R2,A1,residential,newcapa,2024,11.00000000000
heatpump,R2,R2,A1,residential,newcapa,2024,4.00000000000
gasCCGT,R1,R1,A1,power,newcapa,2024,1.00000000000
windturbine,R1,R1,A1,power,newcapa,2024,8.77320000000
windturbine,R1,R1,A1,power,newcapa,2024,4.17680000000
gasCCGT,R2,R2,A1,power,newcapa,2024,1.00000000000
windturbine,R2,R2,A1,power,newcapa,2024,8.77320000000
windturbine,R2,R2,A1,power,newcapa,2024,4.17680000000
gasboiler,R1,R1,A1,residential,newcapa,2026,4.00000000000
heatpump,R1,R1,A1,residential,newcapa,2026,11.00000000000
heatpump,R1,R1,A1,residential,newcapa,2026,4.00000000000
heatpump,R1,R1,A1,residential,newcapa,2026,4.00000000000
gasboiler,R2,R2,A1,residential,newcapa,2026,4.00000000000
heatpump,R2,R2,A1,residential,newcapa,2026,11.00000000000
heatpump,R2,R2,A1,residential,newcapa,2026,4.00000000000
heatpump,R2,R2,A1,residential,newcapa,2026,4.00000000000
gasCCGT,R1,R1,A1,power,newcapa,2026,0.80000000000
windturbine,R1,R1,A1,power,newcapa,2026,8.77320000000
windturbine,R1,R1,A1,power,newcapa,2026,4.17680000000
windturbine,R1,R1,A1,power,newcapa,2026,4.67960000000
gasCCGT,R2,R2,A1,power,newcapa,2026,0.80000000000
windturbine,R2,R2,A1,power,newcapa,2026,8.77320000000
windturbine,R2,R2,A1,power,newcapa,2026,4.17680000000
windturbine,R2,R2,A1,power,newcapa,2026,4.67960000000
gasboiler,R1,R1,A1,residential,newcapa,2028,2.00000000000
heatpump,R1,R1,A1,residential,newcapa,2028,11.00000000000
heatpump,R1,R1,A1,residential,newcapa,2028,4.00000000000
heatpump,R1,R1,A1,residential,newcapa,2028,4.00000000000
heatpump,R1,R1,A1,residential,newcapa,2028,4.00000000000
gasboiler,R2,R2,A1,residential,newcapa,2028,2.00000000000
heatpump,R2,R2,A1,residential,newcapa,2028,11.00000000000
heatpump,R2,R2,A1,residential,newcapa,2028,4.00000000000
heatpump,R2,R2,A1,residential,newcapa,2028,4.00000000000
heatpump,R2,R2,A1,residential,newcapa,2028,4.00000000000
gasCCGT,R1,R1,A1,power,newcapa,2028,0.40000000000
solarPV,R1,R1,A1,power,newcapa,2028,5.16960000000
windturbine,R1,R1,A1,power,newcapa,2028,8.77320000000
windturbine,R1,R1,A1,power,newcapa,2028,4.17680000000
windturbine,R1,R1,A1,power,newcapa,2028,4.67960000000
gasCCGT,R2,R2,A1,power,newcapa,2028,0.40000000000
solarPV,R2,R2,A1,power,newcapa,2028,5.16960000000
windturbine,R2,R2,A1,power,newcapa,2028,8.77320000000
