,timeslice,commodity,region,installed,technology,year,agent,category,sector,consumption
0,"('all-year', 'all-week', 'night')",electricity,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
1,"('all-year', 'all-week', 'night')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.81200000000
2,"('all-year', 'all-week', 'night')",heat,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
3,"('all-year', 'all-week', 'night')",CO2f,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
4,"('all-year', 'all-week', 'night')",electricity,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
5,"('all-year', 'all-week', 'night')",gas,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
6,"('all-year', 'all-week', 'night')",heat,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
7,"('all-year', 'all-week', 'night')",CO2f,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
8,"('all-year', 'all-week', 'morning')",electricity,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
9,"('all-year', 'all-week', 'morning')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,1.21800000000
10,"('all-year', 'all-week', 'morning')",heat,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
11,"('all-year', 'all-week', 'morning')",CO2f,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
12,"('all-year', 'all-week', 'morning')",electricity,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
13,"('all-year', 'all-week', 'morning')",gas,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
14,"('all-year', 'all-week', 'morning')",heat,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
15,"('all-year', 'all-week', 'morning')",CO2f,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
16,"('all-year', 'all-week', 'afternoon')",electricity,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
17,"('all-year', 'all-week', 'afternoon')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.81200000000
18,"('all-year', 'all-week', 'afternoon')",heat,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
19,"('all-year', 'all-week', 'afternoon')",CO2f,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
20,"('all-year', 'all-week', 'afternoon')",electricity,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
21,"('all-year', 'all-week', 'afternoon')",gas,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
22,"('all-year', 'all-week', 'afternoon')",heat,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
23,"('all-year', 'all-week', 'afternoon')",CO2f,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
24,"('all-year', 'all-week', 'early-peak')",electricity,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
25,"('all-year', 'all-week', 'early-peak')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,1.21800000000
26,"('all-year', 'all-week', 'early-peak')",heat,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
27,"('all-year', 'all-week', 'early-peak')",CO2f,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
28,"('all-year', 'all-week', 'early-peak')",electricity,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
29,"('all-year', 'all-week', 'early-peak')",gas,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
30,"('all-year', 'all-week', 'early-peak')",heat,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
31,"('all-year', 'all-week', 'early-peak')",CO2f,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
32,"('all-year', 'all-week', 'late-peak')",electricity,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
33,"('all-year', 'all-week', 'late-peak')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,2.43600000000
34,"('all-year', 'all-week', 'late-peak')",heat,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
35,"('all-year', 'all-week', 'late-peak')",CO2f,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
36,"('all-year', 'all-week', 'late-peak')",electricity,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
37,"('all-year', 'all-week', 'late-peak')",gas,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
38,"('all-year', 'all-week', 'late-peak')",heat,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
39,"('all-year', 'all-week', 'late-peak')",CO2f,R1,2020.00000000000,heatpump,2020.00000000000,A1,retrofit,residential,0.00000000000
40,"('all-year', 'all-week', 'evening')",electricity,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
41,"('all-year', 'all-week', 'evening')",gas,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,1.62400000000
42,"('all-year', 'all-week', 'evening')",heat,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
43,"('all-year', 'all-week', 'evening')",CO2f,R1,2020.00000000000,gasboiler,2020.00000000000,A1,retrofit,residential,0.00000000000
