,region,installed,technology,year,agent,category,sector,capital_costs
0,R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
1,R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
2,R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
3,R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
4,R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
5,R1,2020,heatpump,2020,A1,newcapa,residential,0.00000000000
6,R1,2020,gasboiler,2020,A1,retrofit,residential,3.85000000000
7,R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
8,R1,2020,gasboiler,2020,A1,retrofit,residential,5.77500000000
9,R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
10,R1,2020,gasboiler,2020,A1,retrofit,residential,3.85000000000
11,R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
12,R1,2020,gasboiler,2020,A1,retrofit,residential,5.77500000000
13,R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
14,R1,2020,gasboiler,2020,A1,retrofit,residential,11.55000000000
15,R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
16,R1,2020,gasboiler,2020,A1,retrofit,residential,7.70000000000
17,R1,2020,heatpump,2020,A1,retrofit,residential,0.00000000000
18,R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
19,R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
20,R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
21,R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
22,R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
23,R1,2020,heatpump,2020,A2,newcapa,residential,0.00000000000
24,R1,2020,gasboiler,2020,A2,retrofit,residential,1.65000000000
25,R1,2020,heatpump,2020,A2,retrofit,residential,0.00000000000
26,R1,2020,gasboiler,2020,A2,retrofit,residential,2.47500000000
27,R1,2020,heatpump,2020,A2,retrofit,residential,0.00000000000
28,R1,2020,gasboiler,2020,A2,retrofit,residential,1.65000000000
29,R1,2020,heatpump,2020,A2,retrofit,residential,0.00000000000
30,R1,2020,gasboiler,2020,A2,retrofit,residential,2.47500000000
31,R1,2020,heatpump,2020,A2,retrofit,residential,0.00000000000
32,R1,2020,gasboiler,2020,A2,retrofit,residential,4.95000000000
33,R1,2020,heatpump,2020,A2,retrofit,residential,0.00000000000
34,R1,2020,gasboiler,2020,A2,retrofit,residential,3.30000000000
35,R1,2020,heatpump,2020,A2,retrofit,residential,0.00000000000
36,R1,2020,gasCCGT,2020,A1,newcapa,power,0.00000000000
37,R1,2020,gasCCGT,2020,A1,newcapa,power,0.00000000000
38,R1,2020,gasCCGT,2020,A1,newcapa,power,0.00000000000
39,R1,2020,gasCCGT,2020,A1,newcapa,power,0.00000000000
40,R1,2020,gasCCGT,2020,A1,newcapa,power,0.00000000000
41,R1,2020,gasCCGT,2020,A1,newcapa,power,0.00000000000
42,R1,2020,gasCCGT,2020,A1,retrofit,power,2.37823439900
43,R1,2020,windturbine,2020,A1,retrofit,power,0.00000000000
44,R1,2020,gasCCGT,2020,A1,retrofit,power,3.56735159850
45,R1,2020,windturbine,2020,A1,retrofit,power,0.00000000000
46,R1,2020,gasCCGT,2020,A1,retrofit,power,2.37823439900
47,R1,2020,windturbine,2020,A1,retrofit,power,0.00000000000
48,R1,2020,gasCCGT,2020,A1,retrofit,power,3.56735159850
49,R1,2020,windturbine,2020,A1,retrofit,power,0.00000000000
50,R1,2020,gasCCGT,2020,A1,retrofit,power,7.13470319700
51,R1,2020,windturbine,2020,A1,retrofit,power,0.00000000000
52,R1,2020,gasCCGT,2020,A1,retrofit,power,4.75646879800
53,R1,2020,windturbine,2020,A1,retrofit,power,0.00000000000
54,R1,2020,gassupply1,2020,A1,newcapa,gas,0.00000000000
55,R1,2020,gassupply1,2020,A1,newcapa,gas,0.00000000000
56,R1,2020,gassupply1,2020,A1,newcapa,gas,0.00000000000
57,R1,2020,gassupply1,2020,A1,newcapa,gas,0.00000000000
58,R1,2020,gassupply1,2020,A1,newcapa,gas,0.00000000000
59,R1,2020,gassupply1,2020,A1,newcapa,gas,0.00000000000
60,R1,2020,gassupply1,2020,A1,retrofit,gas,163.41168000000
61,R1,2020,gassupply1,2020,A1,retrofit,gas,245.11752000000
62,R1,2020,gassupply1,2020,A1,retrofit,gas,163.41168000000
63,R1,2020,gassupply1,2020,A1,retrofit,gas,245.11752000000
64,R1,2020,gassupply1,2020,A1,retrofit,gas,490.23504000000
65,R1,2020,gassupply1,2020,A1,retrofit,gas,326.82336000000
66,R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
67,R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
68,R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
69,R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
70,R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
71,R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
72,R1,2020,gasboiler,2025,A1,retrofit,residential,2.45000000000
73,R1,2020,heatpump,2025,A1,retrofit,residential,15.41228070175
74,R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
75,R1,2020,gasboiler,2025,A1,retrofit,residential,3.67500000000
76,R1,2020,heatpump,2025,A1,retrofit,residential,23.11842105263
77,R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
78,R1,2020,gasboiler,2025,A1,retrofit,residential,2.45000000000
79,R1,2020,heatpump,2025,A1,retrofit,residential,15.41228070175
80,R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
81,R1,2020,gasboiler,2025,A1,retrofit,residential,3.67500000000
82,R1,2020,heatpump,2025,A1,retrofit,residential,23.11842105263
83,R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
84,R1,2020,gasboiler,2025,A1,retrofit,residential,7.35000000000
85,R1,2020,heatpump,2025,A1,retrofit,residential,46.23684210526
86,R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
87,R1,2020,gasboiler,2025,A1,retrofit,residential,4.90000000000
88,R1,2020,heatpump,2025,A1,retrofit,residential,30.82456140351
89,R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
90,R1,2025,gasboiler,2025,A2,newcapa,residential,0.00000000000
91,R1,2025,gasboiler,2025,A2,newcapa,residential,0.00000000000
92,R1,2025,gasboiler,2025,A2,newcapa,residential,0.00000000000
93,R1,2025,gasboiler,2025,A2,newcapa,residential,0.00000000000
94,R1,2025,gasboiler,2025,A2,newcapa,residential,0.00000000000
95,R1,2025,gasboiler,2025,A2,newcapa,residential,0.00000000000
96,R1,2020,gasboiler,2025,A2,retrofit,residential,1.05000000000
97,R1,2020,heatpump,2025,A2,retrofit,residential,6.60526315789
98,R1,2025,gasboiler,2025,A2,retrofit,residential,0.00000000000
99,R1,2020,gasboiler,2025,A2,retrofit,residential,1.57500000000
100,R1,2020,heatpump,2025,A2,retrofit,residential,9.90789473684
101,R1,2025,gasboiler,2025,A2,retrofit,residential,0.00000000000
102,R1,2020,gasboiler,2025,A2,retrofit,residential,1.05000000000
103,R1,2020,heatpump,2025,A2,retrofit,residential,6.60526315789
