timeslice,commodity,year,asset,region,month,day,hour,technology,installed,supply
0,heat,2030,1,R1,all-year,all-week,night,heatpump,2020,1.05560000000
0,heat,2030,2,R1,all-year,all-week,night,heatpump,2025,0.61110000000
0,heat,2035,2,R1,all-year,all-week,night,heatpump,2025,0.61110000000
0,heat,2035,3,R1,all-year,all-week,night,heatpump,2030,1.38890000000
1,heat,2030,1,R1,all-year,all-week,morning,heatpump,2020,1.58330000000
1,heat,2030,2,R1,all-year,all-week,morning,heatpump,2025,0.91670000000
1,heat,2035,2,R1,all-year,all-week,morning,heatpump,2025,0.91670000000
1,heat,2035,3,R1,all-year,all-week,morning,heatpump,2030,2.08330000000
2,heat,2030,1,R1,all-year,all-week,afternoon,heatpump,2020,1.05560000000
2,heat,2030,2,R1,all-year,all-week,afternoon,heatpump,2025,0.61110000000
2,heat,2035,2,R1,all-year,all-week,afternoon,heatpump,2025,0.61110000000
2,heat,2035,3,R1,all-year,all-week,afternoon,heatpump,2030,1.38890000000
3,heat,2030,1,R1,all-year,all-week,early-peak,heatpump,2020,1.58330000000
3,heat,2030,2,R1,all-year,all-week,early-peak,heatpump,2025,0.91670000000
3,heat,2035,2,R1,all-year,all-week,early-peak,heatpump,2025,0.91670000000
3,heat,2035,3,R1,all-year,all-week,early-peak,heatpump,2030,2.08330000000
4,heat,2030,1,R1,all-year,all-week,late-peak,heatpump,2020,3.16670000000
4,heat,2030,2,R1,all-year,all-week,late-peak,heatpump,2025,1.83330000000
4,heat,2035,2,R1,all-year,all-week,late-peak,heatpump,2025,1.83330000000
4,heat,2035,3,R1,all-year,all-week,late-peak,heatpump,2030,4.16670000000
5,heat,2030,1,R1,all-year,all-week,evening,heatpump,2020,2.11110000000
5,heat,2030,2,R1,all-year,all-week,evening,heatpump,2025,1.22220000000
5,heat,2035,2,R1,all-year,all-week,evening,heatpump,2025,1.22220000000
5,heat,2035,3,R1,all-year,all-week,evening,heatpump,2030,2.77780000000
