,asset,year,technology,region,installed,capacity
0,0,2045,gasCCGT,R1,2025,3.00000000000
1,0,2049,gasCCGT,R1,2025,3.00000000000
2,0,2050,gasCCGT,R1,2025,3.00000000000
3,0,2054,gasCCGT,R1,2025,3.00000000000
4,0,2055,gasCCGT,R1,2025,3.00000000000
5,0,2059,gasCCGT,R1,2025,3.00000000000
6,0,2060,gasCCGT,R1,2025,3.00000000000
7,0,2064,gasCCGT,R1,2025,3.00000000000
13,1,2045,gasCCGT,R2,2025,3.00000000000
14,1,2049,gasCCGT,R2,2025,3.00000000000
15,1,2050,gasCCGT,R2,2025,3.00000000000
16,1,2054,gasCCGT,R2,2025,3.00000000000
17,1,2055,gasCCGT,R2,2025,3.00000000000
18,1,2059,gasCCGT,R2,2025,3.00000000000
19,1,2060,gasCCGT,R2,2025,3.00000000000
20,1,2064,gasCCGT,R2,2025,3.00000000000
26,2,2045,solarPV,R1,2020,9.03670000000
27,2,2049,solarPV,R1,2020,9.03670000000
39,3,2045,solarPV,R1,2025,4.75730000000
40,3,2049,solarPV,R1,2025,4.75730000000
41,3,2050,solarPV,R1,2025,4.75730000000
42,3,2054,solarPV,R1,2025,4.75730000000
52,4,2045,solarPV,R1,2030,9.14270000000
53,4,2049,solarPV,R1,2030,9.14270000000
54,4,2050,solarPV,R1,2030,9.14270000000
55,4,2054,solarPV,R1,2030,9.14270000000
56,4,2055,solarPV,R1,2030,9.14270000000
57,4,2059,solarPV,R1,2030,9.14270000000
65,5,2045,solarPV,R1,2035,10.00000000000
66,5,2049,solarPV,R1,2035,10.00000000000
67,5,2050,solarPV,R1,2035,10.00000000000
68,5,2054,solarPV,R1,2035,10.00000000000
69,5,2055,solarPV,R1,2035,10.00000000000
70,5,2059,solarPV,R1,2035,10.00000000000
71,5,2060,solarPV,R1,2035,10.00000000000
72,5,2064,solarPV,R1,2035,10.00000000000
78,6,2045,solarPV,R1,2040,9.14270000000
79,6,2049,solarPV,R1,2040,9.14270000000
80,6,2050,solarPV,R1,2040,9.14270000000
81,6,2054,solarPV,R1,2040,9.14270000000
82,6,2055,solarPV,R1,2040,9.14270000000
83,6,2059,solarPV,R1,2040,9.14270000000
84,6,2060,solarPV,R1,2040,9.14270000000
85,6,2064,solarPV,R1,2040,9.14270000000
86,6,2065,solarPV,R1,2040,9.14270000000
87,6,2069,solarPV,R1,2040,9.14270000000
93,7,2050,solarPV,R1,2045,19.14270000000
94,7,2054,solarPV,R1,2045,19.14270000000
95,7,2055,solarPV,R1,2045,19.14270000000
96,7,2059,solarPV,R1,2045,19.14270000000
97,7,2060,solarPV,R1,2045,19.14270000000
98,7,2064,solarPV,R1,2045,19.14270000000
99,7,2065,solarPV,R1,2045,19.14270000000
100,7,2069,solarPV,R1,2045,19.14270000000
101,7,2070,solarPV,R1,2045,19.14270000000
102,7,2074,solarPV,R1,2045,19.14270000000
104,8,2045,solarPV,R2,2020,9.03670000000
105,8,2049,solarPV,R2,2020,9.03670000000
117,9,2045,solarPV,R2,2025,4.75730000000
118,9,2049,solarPV,R2,2025,4.75730000000
119,9,2050,solarPV,R2,2025,4.75730000000
120,9,2054,solarPV,R2,2025,4.75730000000
130,10,2045,solarPV,R2,2030,9.14270000000
131,10,2049,solarPV,R2,2030,9.14270000000
132,10,2050,solarPV,R2,2030,9.14270000000
133,10,2054,solarPV,R2,2030,9.14270000000
134,10,2055,solarPV,R2,2030,9.14270000000
135,10,2059,solarPV,R2,2030,9.14270000000
143,11,2045,solarPV,R2,2035,10.00000000000
144,11,2049,solarPV,R2,2035,10.00000000000
145,11,2050,solarPV,R2,2035,10.00000000000
146,11,2054,solarPV,R2,2035,10.00000000000
147,11,2055,solarPV,R2,2035,10.00000000000
148,11,2059,solarPV,R2,2035,10.00000000000
149,11,2060,solarPV,R2,2035,10.00000000000
150,11,2064,solarPV,R2,2035,10.00000000000
156,12,2045,solarPV,R2,2040,9.14270000000
157,12,2049,solarPV,R2,2040,9.14270000000
158,12,2050,solarPV,R2,2040,9.14270000000
159,12,2054,solarPV,R2,2040,9.14270000000
160,12,2055,solarPV,R2,2040,9.14270000000
