asset,year,technology,region,installed,capacity
0,2045,gasCCGT,R1,2025,3.00000000000
0,2049,gasCCGT,R1,2025,3.00000000000
0,2050,gasCCGT,R1,2025,3.00000000000
0,2054,gasCCGT,R1,2025,3.00000000000
0,2055,gasCCGT,R1,2025,3.00000000000
0,2059,gasCCGT,R1,2025,3.00000000000
0,2060,gasCCGT,R1,2025,3.00000000000
0,2064,gasCCGT,R1,2025,3.00000000000
1,2045,gasCCGT,R2,2025,3.00000000000
1,2049,gasCCGT,R2,2025,3.00000000000
1,2050,gasCCGT,R2,2025,3.00000000000
1,2054,gasCCGT,R2,2025,3.00000000000
1,2055,gasCCGT,R2,2025,3.00000000000
1,2059,gasCCGT,R2,2025,3.00000000000
1,2060,gasCCGT,R2,2025,3.00000000000
1,2064,gasCCGT,R2,2025,3.00000000000
2,2045,solarPV,R1,2020,5.60870000000
2,2049,solarPV,R1,2020,5.60870000000
3,2045,solarPV,R1,2025,4.07170000000
3,2049,solarPV,R1,2025,4.07170000000
3,2050,solarPV,R1,2025,4.07170000000
3,2054,solarPV,R1,2025,4.07170000000
4,2045,solarPV,R1,2030,5.71470000000
4,2049,solarPV,R1,2030,5.71470000000
4,2050,solarPV,R1,2030,5.71470000000
4,2054,solarPV,R1,2030,5.71470000000
4,2055,solarPV,R1,2030,5.71470000000
4,2059,solarPV,R1,2030,5.71470000000
5,2045,solarPV,R1,2035,7.85760000000
5,2049,solarPV,R1,2035,7.85760000000
5,2050,solarPV,R1,2035,7.85760000000
5,2054,solarPV,R1,2035,7.85760000000
5,2055,solarPV,R1,2035,7.85760000000
5,2059,solarPV,R1,2035,7.85760000000
5,2060,solarPV,R1,2035,7.85760000000
5,2064,solarPV,R1,2035,7.85760000000
6,2045,solarPV,R1,2040,5.71470000000
6,2049,solarPV,R1,2040,5.71470000000
6,2050,solarPV,R1,2040,5.71470000000
6,2054,solarPV,R1,2040,5.71470000000
6,2055,solarPV,R1,2040,5.71470000000
6,2059,solarPV,R1,2040,5.71470000000
6,2060,solarPV,R1,2040,5.71470000000
6,2064,solarPV,R1,2040,5.71470000000
6,2065,solarPV,R1,2040,5.71470000000
6,2069,solarPV,R1,2040,5.71470000000
7,2050,solarPV,R1,2045,15.71470000000
7,2054,solarPV,R1,2045,15.71470000000
7,2055,solarPV,R1,2045,15.71470000000
7,2059,solarPV,R1,2045,15.71470000000
7,2060,solarPV,R1,2045,15.71470000000
7,2064,solarPV,R1,2045,15.71470000000
7,2065,solarPV,R1,2045,15.71470000000
7,2069,solarPV,R1,2045,15.71470000000
7,2070,solarPV,R1,2045,15.71470000000
7,2074,solarPV,R1,2045,15.71470000000
8,2045,solarPV,R2,2025,4.07170000000
8,2049,solarPV,R2,2025,4.07170000000
8,2050,solarPV,R2,2025,4.07170000000
8,2054,solarPV,R2,2025,4.07170000000
9,2045,solarPV,R2,2030,4.07170000000
9,2049,solarPV,R2,2030,4.07170000000
9,2050,solarPV,R2,2030,4.07170000000
9,2054,solarPV,R2,2030,4.07170000000
9,2055,solarPV,R2,2030,4.07170000000
9,2059,solarPV,R2,2030,4.07170000000
10,2045,solarPV,R2,2035,7.85760000000
10,2049,solarPV,R2,2035,7.85760000000
10,2050,solarPV,R2,2035,7.85760000000
