asset,year,region,installed,technology,capacity
1,2030,R1,2020,solarPV,5.15000000000
1,2035,R1,2020,solarPV,5.15000000000
1,2040,R1,2020,solarPV,5.15000000000
1,2045,R1,2020,solarPV,5.15000000000
1,2049,R1,2020,solarPV,5.15000000000
2,2030,R1,2020,windturbine,10.00000000000
2,2035,R1,2020,windturbine,10.00000000000
2,2040,R1,2020,windturbine,10.00000000000
2,2045,R1,2020,windturbine,10.00000000000
2,2049,R1,2020,windturbine,10.00000000000
3,2030,R1,2025,solarPV,10.73000000000
3,2035,R1,2025,solarPV,10.73000000000
3,2040,R1,2025,solarPV,10.73000000000
3,2045,R1,2025,solarPV,10.73000000000
3,2049,R1,2025,solarPV,10.73000000000
3,2050,R1,2025,solarPV,10.73000000000
3,2054,R1,2025,solarPV,10.73000000000
4,2035,R1,2030,solarPV,5.60000000000
4,2040,R1,2030,solarPV,5.60000000000
4,2045,R1,2030,solarPV,5.60000000000
4,2049,R1,2030,solarPV,5.60000000000
4,2050,R1,2030,solarPV,5.60000000000
4,2054,R1,2030,solarPV,5.60000000000
4,2055,R1,2030,solarPV,5.60000000000
4,2059,R1,2030,solarPV,5.60000000000
6,2030,R2,2020,windturbine,15.15000000000
6,2035,R2,2020,windturbine,15.15000000000
6,2040,R2,2020,windturbine,15.15000000000
6,2045,R2,2020,windturbine,15.15000000000
6,2049,R2,2020,windturbine,15.15000000000
7,2030,R2,2025,solarPV,10.73000000000
7,2035,R2,2025,solarPV,10.73000000000
7,2040,R2,2025,solarPV,10.73000000000
7,2045,R2,2025,solarPV,10.73000000000
7,2049,R2,2025,solarPV,10.73000000000
7,2050,R2,2025,solarPV,10.73000000000
7,2054,R2,2025,solarPV,10.73000000000
8,2035,R2,2030,solarPV,5.60000000000
8,2040,R2,2030,solarPV,5.60000000000
8,2045,R2,2030,solarPV,5.60000000000
8,2049,R2,2030,solarPV,5.60000000000
8,2050,R2,2030,solarPV,5.60000000000
8,2054,R2,2030,solarPV,5.60000000000
8,2055,R2,2030,solarPV,5.60000000000
8,2059,R2,2030,solarPV,5.60000000000
