timeslice,asset,year,commodity,region,technology,installed,comm_usage,month,day,hour,supply
0,0,2025,electricity,R1,gasCCGT,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,10.00000000000
0,0,2025,CO2f,R1,gasCCGT,2020,CommodityUsage.ENVIRONMENTAL|PRODUCT,all-year,all-week,night,916.70000000000
0,2,2025,electricity,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,1.10000000000
0,2,2030,electricity,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,1.10000000000
0,3,2030,electricity,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,night,1.61000000000
1,0,2025,electricity,R1,gasCCGT,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,10.00000000000
1,0,2025,CO2f,R1,gasCCGT,2020,CommodityUsage.ENVIRONMENTAL|PRODUCT,all-year,all-week,morning,916.70000000000
1,2,2025,electricity,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,1.10000000000
1,2,2030,electricity,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,1.10000000000
1,3,2030,electricity,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,morning,1.61000000000
2,0,2025,electricity,R1,gasCCGT,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,10.00000000000
2,0,2025,CO2f,R1,gasCCGT,2020,CommodityUsage.ENVIRONMENTAL|PRODUCT,all-year,all-week,afternoon,916.70000000000
2,2,2025,electricity,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,1.10000000000
2,2,2030,electricity,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,1.10000000000
2,3,2030,electricity,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,afternoon,1.61000000000
3,0,2025,electricity,R1,gasCCGT,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,early-peak,10.00000000000
3,0,2025,CO2f,R1,gasCCGT,2020,CommodityUsage.ENVIRONMENTAL|PRODUCT,all-year,all-week,early-peak,916.70000000000
3,2,2025,electricity,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,early-peak,1.10000000000
3,2,2030,electricity,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,early-peak,1.10000000000
3,3,2030,electricity,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,early-peak,1.61000000000
4,0,2025,electricity,R1,gasCCGT,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,late-peak,10.00000000000
4,0,2025,CO2f,R1,gasCCGT,2020,CommodityUsage.ENVIRONMENTAL|PRODUCT,all-year,all-week,late-peak,916.70000000000
4,2,2025,electricity,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,late-peak,1.10000000000
4,2,2030,electricity,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,late-peak,1.10000000000
4,3,2030,electricity,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,late-peak,1.61000000000
5,0,2025,electricity,R1,gasCCGT,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,evening,10.00000000000
5,0,2025,CO2f,R1,gasCCGT,2020,CommodityUsage.ENVIRONMENTAL|PRODUCT,all-year,all-week,evening,916.70000000000
5,2,2025,electricity,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,evening,1.10000000000
5,2,2030,electricity,R1,windturbine,2020,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,evening,1.10000000000
5,3,2030,electricity,R1,windturbine,2025,CommodityUsage.ENERGY|PRODUCT,all-year,all-week,evening,1.61000000000
