commodity,day,hour,month,prices,region,timeslice,units_prices,year
electricity,all-week,night,all-year,19.5000,r1,0,MUS$2010/PJ,2020
gas,all-week,night,all-year,7.1528,r1,0,MUS$2010/PJ,2020
heat,all-week,night,all-year,0.0000,r1,0,MUS$2010/PJ,2020
wind,all-week,night,all-year,0.0000,r1,0,MUS$2010/PJ,2020
CO2f,all-week,night,all-year,0.0831,r1,0,MUS$2010/kt,2020
cook,all-week,night,all-year,0.0000,r1,0,MUS$2010/PJ,2020
electricity,all-week,morning,all-year,19.5000,r1,1,MUS$2010/PJ,2020
gas,all-week,morning,all-year,7.1528,r1,1,MUS$2010/PJ,2020
heat,all-week,morning,all-year,0.0000,r1,1,MUS$2010/PJ,2020
wind,all-week,morning,all-year,0.0000,r1,1,MUS$2010/PJ,2020
CO2f,all-week,morning,all-year,0.0831,r1,1,MUS$2010/kt,2020
cook,all-week,morning,all-year,0.0000,r1,1,MUS$2010/PJ,2020
electricity,all-week,afternoon,all-year,19.5000,r1,2,MUS$2010/PJ,2020
gas,all-week,afternoon,all-year,7.1528,r1,2,MUS$2010/PJ,2020
heat,all-week,afternoon,all-year,0.0000,r1,2,MUS$2010/PJ,2020
wind,all-week,afternoon,all-year,0.0000,r1,2,MUS$2010/PJ,2020
CO2f,all-week,afternoon,all-year,0.0831,r1,2,MUS$2010/kt,2020
cook,all-week,afternoon,all-year,0.0000,r1,2,MUS$2010/PJ,2020
electricity,all-week,early-peak,all-year,19.5000,r1,3,MUS$2010/PJ,2020
gas,all-week,early-peak,all-year,7.1528,r1,3,MUS$2010/PJ,2020
heat,all-week,early-peak,all-year,0.0000,r1,3,MUS$2010/PJ,2020
wind,all-week,early-peak,all-year,0.0000,r1,3,MUS$2010/PJ,2020
CO2f,all-week,early-peak,all-year,0.0831,r1,3,MUS$2010/kt,2020
cook,all-week,early-peak,all-year,0.0000,r1,3,MUS$2010/PJ,2020
electricity,all-week,late-peak,all-year,19.5000,r1,4,MUS$2010/PJ,2020
