technology,dst_region,region,agent,sector,type,year,capacity
procammonia_1,R1,R1,A1,industry,newcapa,2010,26.00000000000
procammonia_2,R1,R1,A1,industry,newcapa,2010,26.00000000000
procammonia_1,R1,R1,A1,industry,newcapa,2015,29.90000000000
procammonia_2,R1,R1,A1,industry,newcapa,2015,24.35470000000
procammonia_1,R1,R1,A1,industry,newcapa,2020,25.56670000000
procammonia_1,R1,R1,A1,industry,newcapa,2020,8.66670000000
procammonia_2,R1,R1,A1,industry,newcapa,2020,20.02140000000
procammonia_1,R1,R1,A1,industry,newcapa,2025,21.23330000000
procammonia_1,R1,R1,A1,industry,newcapa,2025,8.66670000000
procammonia_1,R1,R1,A1,industry,newcapa,2025,8.70630000000
procammonia_2,R1,R1,A1,industry,newcapa,2025,15.68800000000
procammonia_1,R1,R1,A1,industry,newcapa,2030,16.90000000000
procammonia_1,R1,R1,A1,industry,newcapa,2030,8.66670000000
procammonia_1,R1,R1,A1,industry,newcapa,2030,8.70630000000
procammonia_1,R1,R1,A1,industry,newcapa,2030,8.70630000000
procammonia_2,R1,R1,A1,industry,newcapa,2030,11.35470000000
procammonia_1,R1,R1,A1,industry,newcapa,2035,4.33330000000
procammonia_1,R1,R1,A1,industry,newcapa,2035,8.66670000000
procammonia_1,R1,R1,A1,industry,newcapa,2035,8.70630000000
procammonia_1,R1,R1,A1,industry,newcapa,2035,8.70630000000
procammonia_1,R1,R1,A1,industry,newcapa,2035,18.79580000000
procammonia_2,R1,R1,A1,industry,newcapa,2035,4.33330000000
procammonia_1,R1,R1,A1,industry,newcapa,2040,8.70630000000
procammonia_1,R1,R1,A1,industry,newcapa,2040,8.70630000000
procammonia_1,R1,R1,A1,industry,newcapa,2040,18.79580000000
procammonia_1,R1,R1,A1,industry,newcapa,2040,16.54120000000
procammonia_1,R1,R1,A1,industry,newcapa,2045,8.70630000000
procammonia_1,R1,R1,A1,industry,newcapa,2045,18.79580000000
procammonia_1,R1,R1,A1,industry,newcapa,2045,16.54120000000
procammonia_1,R1,R1,A1,industry,newcapa,2045,7.21970000000
procammonia_1,R1,R1,A1,industry,newcapa,2050,18.79580000000
procammonia_1,R1,R1,A1,industry,newcapa,2050,16.54120000000
procammonia_1,R1,R1,A1,industry,newcapa,2050,7.21970000000
procammonia_1,R1,R1,A1,industry,newcapa,2050,7.21970000000
