region,month,day,hour,technology,installed,supply
R1,all-year,all-week,night,heatpump,2040,0.66850000000
R1,all-year,all-week,night,heatpump,2045,0.39000000000
R1,all-year,all-week,night,heatpump,2045,0.39260000000
R1,all-year,all-week,night,heatpump,2050,0.67300000000
R1,all-year,all-week,morning,heatpump,2040,1.00750000000
R1,all-year,all-week,morning,heatpump,2045,0.58770000000
R1,all-year,all-week,morning,heatpump,2045,0.59160000000
R1,all-year,all-week,morning,heatpump,2050,1.01420000000
R1,all-year,all-week,afternoon,heatpump,2040,0.66850000000
R1,all-year,all-week,afternoon,heatpump,2045,0.39000000000
R1,all-year,all-week,afternoon,heatpump,2045,0.39260000000
R1,all-year,all-week,afternoon,heatpump,2050,0.67300000000
R1,all-year,all-week,early-peak,heatpump,2040,1.00750000000
R1,all-year,all-week,early-peak,heatpump,2045,0.58770000000
R1,all-year,all-week,early-peak,heatpump,2045,0.59160000000
R1,all-year,all-week,early-peak,heatpump,2050,1.01420000000
R1,all-year,all-week,late-peak,heatpump,2040,2.01500000000
R1,all-year,all-week,late-peak,heatpump,2045,1.17540000000
R1,all-year,all-week,late-peak,heatpump,2045,1.18330000000
R1,all-year,all-week,late-peak,heatpump,2050,2.02850000000
R1,all-year,all-week,evening,heatpump,2040,1.34650000000
R1,all-year,all-week,evening,heatpump,2045,0.78540000000
R1,all-year,all-week,evening,heatpump,2045,0.79070000000
R1,all-year,all-week,evening,heatpump,2050,1.35550000000
