timeslice,commodity,year,asset,region,month,day,hour,technology,installed,supply
0,heat,2040,0,R1,all-year,all-week,night,gasboiler,2035,0.13230000000
0,heat,2040,1,R1,all-year,all-week,night,heatpump,2030,0.68330000000
0,heat,2040,2,R1,all-year,all-week,night,heatpump,2035,0.20790000000
0,heat,2045,0,R1,all-year,all-week,night,gasboiler,2035,0.13230000000
0,heat,2045,2,R1,all-year,all-week,night,heatpump,2035,0.20790000000
0,heat,2045,3,R1,all-year,all-week,night,heatpump,2040,0.70080000000
0,CO2f,2040,0,R1,all-year,all-week,night,gasboiler,2035,8.56370000000
0,CO2f,2045,0,R1,all-year,all-week,night,gasboiler,2035,8.56370000000
1,heat,2040,0,R1,all-year,all-week,morning,gasboiler,2035,0.19940000000
1,heat,2040,1,R1,all-year,all-week,morning,heatpump,2030,1.02970000000
1,heat,2040,2,R1,all-year,all-week,morning,heatpump,2035,0.31330000000
1,heat,2045,0,R1,all-year,all-week,morning,gasboiler,2035,0.19940000000
1,heat,2045,2,R1,all-year,all-week,morning,heatpump,2035,0.31330000000
1,heat,2045,3,R1,all-year,all-week,morning,heatpump,2040,1.05620000000
1,CO2f,2040,0,R1,all-year,all-week,morning,gasboiler,2035,12.90580000000
1,CO2f,2045,0,R1,all-year,all-week,morning,gasboiler,2035,12.90580000000
2,heat,2040,0,R1,all-year,all-week,afternoon,gasboiler,2035,0.13230000000
2,heat,2040,1,R1,all-year,all-week,afternoon,heatpump,2030,0.68330000000
2,heat,2040,2,R1,all-year,all-week,afternoon,heatpump,2035,0.20790000000
2,heat,2045,0,R1,all-year,all-week,afternoon,gasboiler,2035,0.13230000000
2,heat,2045,2,R1,all-year,all-week,afternoon,heatpump,2035,0.20790000000
2,heat,2045,3,R1,all-year,all-week,afternoon,heatpump,2040,0.70080000000
2,CO2f,2040,0,R1,all-year,all-week,afternoon,gasboiler,2035,8.56370000000
2,CO2f,2045,0,R1,all-year,all-week,afternoon,gasboiler,2035,8.56370000000
3,heat,2040,0,R1,all-year,all-week,early-peak,gasboiler,2035,0.19940000000
3,heat,2040,1,R1,all-year,all-week,early-peak,heatpump,2030,1.02970000000
3,heat,2040,2,R1,all-year,all-week,early-peak,heatpump,2035,0.31330000000
3,heat,2045,0,R1,all-year,all-week,early-peak,gasboiler,2035,0.19940000000
3,heat,2045,2,R1,all-year,all-week,early-peak,heatpump,2035,0.31330000000
3,heat,2045,3,R1,all-year,all-week,early-peak,heatpump,2040,1.05620000000
3,CO2f,2040,0,R1,all-year,all-week,early-peak,gasboiler,2035,12.90580000000
3,CO2f,2045,0,R1,all-year,all-week,early-peak,gasboiler,2035,12.90580000000
4,heat,2040,0,R1,all-year,all-week,late-peak,gasboiler,2035,0.39890000000
4,heat,2040,1,R1,all-year,all-week,late-peak,heatpump,2030,2.05950000000
4,heat,2040,2,R1,all-year,all-week,late-peak,heatpump,2035,0.62650000000
4,heat,2045,0,R1,all-year,all-week,late-peak,gasboiler,2035,0.39890000000
4,heat,2045,2,R1,all-year,all-week,late-peak,heatpump,2035,0.62650000000
4,heat,2045,3,R1,all-year,all-week,late-peak,heatpump,2040,2.11230000000
4,CO2f,2040,0,R1,all-year,all-week,late-peak,gasboiler,2035,25.81170000000
4,CO2f,2045,0,R1,all-year,all-week,late-peak,gasboiler,2035,25.81170000000
5,heat,2040,0,R1,all-year,all-week,evening,gasboiler,2035,0.26650000000
5,heat,2040,1,R1,all-year,all-week,evening,heatpump,2030,1.37620000000
5,heat,2040,2,R1,all-year,all-week,evening,heatpump,2035,0.41870000000
5,heat,2045,0,R1,all-year,all-week,evening,gasboiler,2035,0.26650000000
5,heat,2045,2,R1,all-year,all-week,evening,heatpump,2035,0.41870000000
5,heat,2045,3,R1,all-year,all-week,evening,heatpump,2040,1.41150000000
5,CO2f,2040,0,R1,all-year,all-week,evening,gasboiler,2035,17.24800000000
5,CO2f,2045,0,R1,all-year,all-week,evening,gasboiler,2035,17.24800000000
