asset,year,region,installed,technology,capacity
2,2050,R1,2025,solarPV,19.39350000000
2,2054,R1,2025,solarPV,19.39350000000
3,2050,R1,2030,solarPV,11.42930000000
3,2054,R1,2030,solarPV,11.42930000000
3,2055,R1,2030,solarPV,11.42930000000
3,2059,R1,2030,solarPV,11.42930000000
4,2050,R1,2035,solarPV,15.71520000000
4,2054,R1,2035,solarPV,15.71520000000
4,2055,R1,2035,solarPV,15.71520000000
4,2059,R1,2035,solarPV,15.71520000000
4,2060,R1,2035,solarPV,15.71520000000
4,2064,R1,2035,solarPV,15.71520000000
5,2050,R1,2040,solarPV,11.42930000000
5,2054,R1,2040,solarPV,11.42930000000
5,2055,R1,2040,solarPV,11.42930000000
5,2059,R1,2040,solarPV,11.42930000000
5,2060,R1,2040,solarPV,11.42930000000
5,2064,R1,2040,solarPV,11.42930000000
5,2065,R1,2040,solarPV,11.42930000000
5,2069,R1,2040,solarPV,11.42930000000
6,2050,R1,2045,solarPV,31.42930000000
6,2054,R1,2045,solarPV,31.42930000000
6,2055,R1,2045,solarPV,31.42930000000
6,2059,R1,2045,solarPV,31.42930000000
6,2060,R1,2045,solarPV,31.42930000000
6,2064,R1,2045,solarPV,31.42930000000
6,2065,R1,2045,solarPV,31.42930000000
6,2069,R1,2045,solarPV,31.42930000000
6,2070,R1,2045,solarPV,31.42930000000
6,2074,R1,2045,solarPV,31.42930000000
7,2050,R1,2045,windturbine,13.46730000000
7,2054,R1,2045,windturbine,13.46730000000
7,2055,R1,2045,windturbine,13.46730000000
7,2059,R1,2045,windturbine,13.46730000000
7,2060,R1,2045,windturbine,13.46730000000
7,2064,R1,2045,windturbine,13.46730000000
7,2065,R1,2045,windturbine,13.46730000000
7,2069,R1,2045,windturbine,13.46730000000
7,2070,R1,2045,windturbine,13.46730000000
7,2074,R1,2045,windturbine,13.46730000000
8,2055,R1,2050,solarPV,19.39350000000
8,2059,R1,2050,solarPV,19.39350000000
8,2060,R1,2050,solarPV,19.39350000000
8,2064,R1,2050,solarPV,19.39350000000
8,2065,R1,2050,solarPV,19.39350000000
8,2069,R1,2050,solarPV,19.39350000000
8,2070,R1,2050,solarPV,19.39350000000
8,2074,R1,2050,solarPV,19.39350000000
8,2075,R1,2050,solarPV,19.39350000000
8,2079,R1,2050,solarPV,19.39350000000
10,2050,R2,2025,solarPV,19.39350000000
10,2054,R2,2025,solarPV,19.39350000000
11,2050,R2,2030,solarPV,11.42930000000
11,2054,R2,2030,solarPV,11.42930000000
11,2055,R2,2030,solarPV,11.42930000000
11,2059,R2,2030,solarPV,11.42930000000
12,2050,R2,2035,solarPV,15.71520000000
12,2054,R2,2035,solarPV,15.71520000000
12,2055,R2,2035,solarPV,15.71520000000
12,2059,R2,2035,solarPV,15.71520000000
12,2060,R2,2035,solarPV,15.71520000000
12,2064,R2,2035,solarPV,15.71520000000
13,2050,R2,2040,solarPV,11.42930000000
13,2054,R2,2040,solarPV,11.42930000000
13,2055,R2,2040,solarPV,11.42930000000
13,2059,R2,2040,solarPV,11.42930000000
13,2060,R2,2040,solarPV,11.42930000000
13,2064,R2,2040,solarPV,11.42930000000
13,2065,R2,2040,solarPV,11.42930000000
13,2069,R2,2040,solarPV,11.42930000000
14,2050,R2,2045,solarPV,31.42930000000
14,2054,R2,2045,solarPV,31.42930000000
14,2055,R2,2045,solarPV,31.42930000000
14,2059,R2,2045,solarPV,31.42930000000
14,2060,R2,2045,solarPV,31.42930000000
14,2064,R2,2045,solarPV,31.42930000000
14,2065,R2,2045,solarPV,31.42930000000
14,2069,R2,2045,solarPV,31.42930000000
14,2070,R2,2045,solarPV,31.42930000000
14,2074,R2,2045,solarPV,31.42930000000
15,2050,R2,2045,windturbine,13.46730000000
15,2054,R2,2045,windturbine,13.46730000000
15,2055,R2,2045,windturbine,13.46730000000
15,2059,R2,2045,windturbine,13.46730000000
15,2060,R2,2045,windturbine,13.46730000000
15,2064,R2,2045,windturbine,13.46730000000
15,2065,R2,2045,windturbine,13.46730000000
15,2069,R2,2045,windturbine,13.46730000000
15,2070,R2,2045,windturbine,13.46730000000
15,2074,R2,2045,windturbine,13.46730000000
16,2055,R2,2050,solarPV,19.39350000000
16,2059,R2,2050,solarPV,19.39350000000
16,2060,R2,2050,solarPV,19.39350000000
16,2064,R2,2050,solarPV,19.39350000000
16,2065,R2,2050,solarPV,19.39350000000
16,2069,R2,2050,solarPV,19.39350000000
16,2070,R2,2050,solarPV,19.39350000000
16,2074,R2,2050,solarPV,19.39350000000
16,2075,R2,2050,solarPV,19.39350000000
16,2079,R2,2050,solarPV,19.39350000000
