commodity,day,hour,month,region,supply,timeslice,units_prices,year
gas,all-week,night,all-year,r1,1.0391,0,MUS$2010/PJ,2020
heat,all-week,night,all-year,r1,0.8958,0,MUS$2010/PJ,2020
CO2f,all-week,night,all-year,r1,57.9667,0,MUS$2010/kt,2020
gas,all-week,morning,all-year,r1,1.5660,1,MUS$2010/PJ,2020
heat,all-week,morning,all-year,r1,1.3500,1,MUS$2010/PJ,2020
CO2f,all-week,morning,all-year,r1,87.3583,1,MUS$2010/kt,2020
gas,all-week,afternoon,all-year,r1,1.0391,2,MUS$2010/PJ,2020
heat,all-week,afternoon,all-year,r1,0.8958,2,MUS$2010/PJ,2020
CO2f,all-week,afternoon,all-year,r1,57.9667,2,MUS$2010/kt,2020
gas,all-week,early-peak,all-year,r1,1.5660,3,MUS$2010/PJ,2020
heat,all-week,early-peak,all-year,r1,1.3500,3,MUS$2010/PJ,2020
CO2f,all-week,early-peak,all-year,r1,87.3583,3,MUS$2010/kt,2020
gas,all-week,late-peak,all-year,r1,1.9333,4,MUS$2010/PJ,2020
heat,all-week,late-peak,all-year,r1,1.6667,4,MUS$2010/PJ,2020
CO2f,all-week,late-peak,all-year,r1,107.8500,4,MUS$2010/kt,2020
gas,all-week,evening,all-year,r1,1.9333,5,MUS$2010/PJ,2020
heat,all-week,evening,all-year,r1,1.6667,5,MUS$2010/PJ,2020
CO2f,all-week,evening,all-year,r1,107.8500,5,MUS$2010/kt,2020
electricity,all-week,night,all-year,r1,0.1680,0,MUS$2010/PJ,2025
gas,all-week,night,all-year,r1,0.8751,0,MUS$2010/PJ,2025
heat,all-week,night,all-year,r1,0.9325,0,MUS$2010/PJ,2025
CO2f,all-week,night,all-year,r1,48.5650,0,MUS$2010/kt,2025
electricity,all-week,morning,all-year,r1,0.2531,1,MUS$2010/PJ,2025
gas,all-week,morning,all-year,r1,1.3188,1,MUS$2010/PJ,2025
heat,all-week,morning,all-year,r1,1.4053,1,MUS$2010/PJ,2025
CO2f,all-week,morning,all-year,r1,73.1896,1,MUS$2010/kt,2025
electricity,all-week,afternoon,all-year,r1,0.1680,2,MUS$2010/PJ,2025
gas,all-week,afternoon,all-year,r1,0.8751,2,MUS$2010/PJ,2025
heat,all-week,afternoon,all-year,r1,0.9325,2,MUS$2010/PJ,2025
CO2f,all-week,afternoon,all-year,r1,48.5650,2,MUS$2010/kt,2025
electricity,all-week,early-peak,all-year,r1,0.2531,3,MUS$2010/PJ,2025
gas,all-week,early-peak,all-year,r1,1.3188,3,MUS$2010/PJ,2025
heat,all-week,early-peak,all-year,r1,1.4053,3,MUS$2010/PJ,2025
CO2f,all-week,early-peak,all-year,r1,73.1896,3,MUS$2010/kt,2025
electricity,all-week,late-peak,all-year,r1,0.5062,4,MUS$2010/PJ,2025
gas,all-week,late-peak,all-year,r1,2.6375,4,MUS$2010/PJ,2025
heat,all-week,late-peak,all-year,r1,2.8105,4,MUS$2010/PJ,2025
CO2f,all-week,late-peak,all-year,r1,146.3791,4,MUS$2010/kt,2025
electricity,all-week,evening,all-year,r1,0.3383,5,MUS$2010/PJ,2025
gas,all-week,evening,all-year,r1,1.7625,5,MUS$2010/PJ,2025
heat,all-week,evening,all-year,r1,1.8781,5,MUS$2010/PJ,2025
CO2f,all-week,evening,all-year,r1,97.8141,5,MUS$2010/kt,2025
electricity,all-week,night,all-year,r1,0.2932,0,MUS$2010/PJ,2030
gas,all-week,night,all-year,r1,0.2739,0,MUS$2010/PJ,2030
heat,all-week,night,all-year,r1,0.9690,0,MUS$2010/PJ,2030
CO2f,all-week,night,all-year,r1,15.2770,0,MUS$2010/kt,2030
electricity,all-week,morning,all-year,r1,0.4418,1,MUS$2010/PJ,2030
gas,all-week,morning,all-year,r1,0.4127,1,MUS$2010/PJ,2030
heat,all-week,morning,all-year,r1,1.4603,1,MUS$2010/PJ,2030
CO2f,all-week,morning,all-year,r1,23.0231,1,MUS$2010/kt,2030
electricity,all-week,afternoon,all-year,r1,0.2932,2,MUS$2010/PJ,2030
gas,all-week,afternoon,all-year,r1,0.2739,2,MUS$2010/PJ,2030
heat,all-week,afternoon,all-year,r1,0.9690,2,MUS$2010/PJ,2030
CO2f,all-week,afternoon,all-year,r1,15.2770,2,MUS$2010/kt,2030
electricity,all-week,early-peak,all-year,r1,0.4418,3,MUS$2010/PJ,2030
gas,all-week,early-peak,all-year,r1,0.4127,3,MUS$2010/PJ,2030
heat,all-week,early-peak,all-year,r1,1.4603,3,MUS$2010/PJ,2030
CO2f,all-week,early-peak,all-year,r1,23.0231,3,MUS$2010/kt,2030
electricity,all-week,late-peak,all-year,r1,0.8836,4,MUS$2010/PJ,2030
gas,all-week,late-peak,all-year,r1,1.4556,4,MUS$2010/PJ,2030
heat,all-week,late-peak,all-year,r1,2.9206,4,MUS$2010/PJ,2030
CO2f,all-week,late-peak,all-year,r1,80.6403,4,MUS$2010/kt,2030
electricity,all-week,evening,all-year,r1,0.5905,5,MUS$2010/PJ,2030
gas,all-week,evening,all-year,r1,0.6922,5,MUS$2010/PJ,2030
heat,all-week,evening,all-year,r1,1.9516,5,MUS$2010/PJ,2030
CO2f,all-week,evening,all-year,r1,38.4888,5,MUS$2010/kt,2030
electricity,all-week,night,all-year,r1,0.3985,0,MUS$2010/PJ,2035
heat,all-week,night,all-year,r1,0.9963,0,MUS$2010/PJ,2035
electricity,all-week,morning,all-year,r1,0.6006,1,MUS$2010/PJ,2035
heat,all-week,morning,all-year,r1,1.5015,1,MUS$2010/PJ,2035
electricity,all-week,afternoon,all-year,r1,0.3985,2,MUS$2010/PJ,2035
heat,all-week,afternoon,all-year,r1,0.9963,2,MUS$2010/PJ,2035
electricity,all-week,early-peak,all-year,r1,0.6006,3,MUS$2010/PJ,2035
heat,all-week,early-peak,all-year,r1,1.5015,3,MUS$2010/PJ,2035
electricity,all-week,late-peak,all-year,r1,1.2012,4,MUS$2010/PJ,2035
gas,all-week,late-peak,all-year,r1,0.6302,4,MUS$2010/PJ,2035
heat,all-week,late-peak,all-year,r1,3.0029,4,MUS$2010/PJ,2035
CO2f,all-week,late-peak,all-year,r1,34.5941,4,MUS$2010/kt,2035
electricity,all-week,evening,all-year,r1,0.8027,5,MUS$2010/PJ,2035
heat,all-week,evening,all-year,r1,2.0066,5,MUS$2010/PJ,2035
electricity,all-week,night,all-year,r1,0.4094,0,MUS$2010/PJ,2040
heat,all-week,night,all-year,r1,1.0235,0,MUS$2010/PJ,2040
electricity,all-week,morning,all-year,r1,0.6170,1,MUS$2010/PJ,2040
heat,all-week,morning,all-year,r1,1.5425,1,MUS$2010/PJ,2040
electricity,all-week,afternoon,all-year,r1,0.4094,2,MUS$2010/PJ,2040
heat,all-week,afternoon,all-year,r1,1.0235,2,MUS$2010/PJ,2040
electricity,all-week,early-peak,all-year,r1,0.6170,3,MUS$2010/PJ,2040
heat,all-week,early-peak,all-year,r1,1.5425,3,MUS$2010/PJ,2040
electricity,all-week,late-peak,all-year,r1,1.2340,4,MUS$2010/PJ,2040
gas,all-week,late-peak,all-year,r1,0.6302,4,MUS$2010/PJ,2040
heat,all-week,late-peak,all-year,r1,3.0849,4,MUS$2010/PJ,2040
CO2f,all-week,late-peak,all-year,r1,34.5941,4,MUS$2010/kt,2040
electricity,all-week,evening,all-year,r1,0.8246,5,MUS$2010/PJ,2040
heat,all-week,evening,all-year,r1,2.0614,5,MUS$2010/PJ,2040
electricity,all-week,night,all-year,r1,0.4164,0,MUS$2010/PJ,2045
heat,all-week,night,all-year,r1,1.0410,0,MUS$2010/PJ,2045
electricity,all-week,morning,all-year,r1,0.6276,1,MUS$2010/PJ,2045
heat,all-week,morning,all-year,r1,1.5689,1,MUS$2010/PJ,2045
electricity,all-week,afternoon,all-year,r1,0.4164,2,MUS$2010/PJ,2045
heat,all-week,afternoon,all-year,r1,1.0410,2,MUS$2010/PJ,2045
electricity,all-week,early-peak,all-year,r1,0.6276,3,MUS$2010/PJ,2045
heat,all-week,early-peak,all-year,r1,1.5689,3,MUS$2010/PJ,2045
electricity,all-week,late-peak,all-year,r1,1.2551,4,MUS$2010/PJ,2045
gas,all-week,late-peak,all-year,r1,0.6302,4,MUS$2010/PJ,2045
heat,all-week,late-peak,all-year,r1,3.1378,4,MUS$2010/PJ,2045
CO2f,all-week,late-peak,all-year,r1,34.5941,4,MUS$2010/kt,2045
electricity,all-week,evening,all-year,r1,0.8387,5,MUS$2010/PJ,2045
heat,all-week,evening,all-year,r1,2.0967,5,MUS$2010/PJ,2045
electricity,all-week,night,all-year,r1,0.4234,0,MUS$2010/PJ,2050
heat,all-week,night,all-year,r1,1.0585,0,MUS$2010/PJ,2050
electricity,all-week,morning,all-year,r1,0.6381,1,MUS$2010/PJ,2050
heat,all-week,morning,all-year,r1,1.5952,1,MUS$2010/PJ,2050
electricity,all-week,afternoon,all-year,r1,0.4234,2,MUS$2010/PJ,2050
heat,all-week,afternoon,all-year,r1,1.0585,2,MUS$2010/PJ,2050
electricity,all-week,early-peak,all-year,r1,0.6381,3,MUS$2010/PJ,2050
heat,all-week,early-peak,all-year,r1,1.5952,3,MUS$2010/PJ,2050
electricity,all-week,late-peak,all-year,r1,1.2762,4,MUS$2010/PJ,2050
gas,all-week,late-peak,all-year,r1,0.6302,4,MUS$2010/PJ,2050
heat,all-week,late-peak,all-year,r1,3.1904,4,MUS$2010/PJ,2050
CO2f,all-week,late-peak,all-year,r1,34.5941,4,MUS$2010/kt,2050
electricity,all-week,evening,all-year,r1,0.8528,5,MUS$2010/PJ,2050
heat,all-week,evening,all-year,r1,2.1319,5,MUS$2010/PJ,2050
