timeslice,asset,year,commodity,month,day,hour,region,technology,installed,supply
0,4,2030,electricity,all-year,all-week,night,R1,windturbine,2025,0.66670000000
0,4,2035,electricity,all-year,all-week,night,R1,windturbine,2025,0.40000000000
0,5,2035,electricity,all-year,all-week,night,R1,windturbine,2030,0.40000000000
1,4,2030,electricity,all-year,all-week,morning,R1,windturbine,2025,0.50000000000
1,4,2035,electricity,all-year,all-week,morning,R1,windturbine,2025,0.50000000000
1,5,2035,electricity,all-year,all-week,morning,R1,windturbine,2030,0.50000000000
2,4,2030,electricity,all-year,all-week,afternoon,R1,windturbine,2025,0.50000000000
2,4,2035,electricity,all-year,all-week,afternoon,R1,windturbine,2025,0.40000000000
2,5,2035,electricity,all-year,all-week,afternoon,R1,windturbine,2030,0.40000000000
3,4,2030,electricity,all-year,all-week,early-peak,R1,windturbine,2025,1.00000000000
3,4,2035,electricity,all-year,all-week,early-peak,R1,windturbine,2025,0.60000000000
3,5,2035,electricity,all-year,all-week,early-peak,R1,windturbine,2030,0.60000000000
4,4,2030,electricity,all-year,all-week,late-peak,R1,windturbine,2025,1.00000000000
4,4,2035,electricity,all-year,all-week,late-peak,R1,windturbine,2025,1.00000000000
4,5,2035,electricity,all-year,all-week,late-peak,R1,windturbine,2030,1.00000000000
5,4,2030,electricity,all-year,all-week,evening,R1,windturbine,2025,1.00000000000
5,4,2035,electricity,all-year,all-week,evening,R1,windturbine,2025,0.80000000000
5,5,2035,electricity,all-year,all-week,evening,R1,windturbine,2030,0.80000000000
