asset,commodity,day,hour,installed,month,region,supply,technology,timeslice,year
0,heat,all-week,night,2020,all-year,R1,1.00000000000,gasboiler,0,2020
0,CO2f,all-week,night,2020,all-year,R1,64.71000000000,gasboiler,0,2020
0,heat,all-week,morning,2020,all-year,R1,1.50000000000,gasboiler,1,2020
0,CO2f,all-week,morning,2020,all-year,R1,97.06500000000,gasboiler,1,2020
0,heat,all-week,afternoon,2020,all-year,R1,1.00000000000,gasboiler,2,2020
0,CO2f,all-week,afternoon,2020,all-year,R1,64.71000000000,gasboiler,2,2020
0,heat,all-week,early-peak,2020,all-year,R1,1.50000000000,gasboiler,3,2020
0,CO2f,all-week,early-peak,2020,all-year,R1,97.06500000000,gasboiler,3,2020
0,heat,all-week,late-peak,2020,all-year,R1,3.00000000000,gasboiler,4,2020
0,CO2f,all-week,late-peak,2020,all-year,R1,194.13000000000,gasboiler,4,2020
0,heat,all-week,evening,2020,all-year,R1,2.00000000000,gasboiler,5,2020
0,CO2f,all-week,evening,2020,all-year,R1,129.42000000000,gasboiler,5,2020
0,heat,all-week,night,2020,all-year,R1,0.27780000000,gasboiler,0,2025
2,heat,all-week,night,2020,all-year,R1,1.05560000000,heatpump,0,2025
0,CO2f,all-week,night,2020,all-year,R1,17.97500000000,gasboiler,0,2025
0,heat,all-week,morning,2020,all-year,R1,0.41670000000,gasboiler,1,2025
2,heat,all-week,morning,2020,all-year,R1,1.58330000000,heatpump,1,2025
0,CO2f,all-week,morning,2020,all-year,R1,26.96250000000,gasboiler,1,2025
0,heat,all-week,afternoon,2020,all-year,R1,0.27780000000,gasboiler,2,2025
2,heat,all-week,afternoon,2020,all-year,R1,1.05560000000,heatpump,2,2025
0,CO2f,all-week,afternoon,2020,all-year,R1,17.97500000000,gasboiler,2,2025
0,heat,all-week,early-peak,2020,all-year,R1,0.41670000000,gasboiler,3,2025
2,heat,all-week,early-peak,2020,all-year,R1,1.58330000000,heatpump,3,2025
0,CO2f,all-week,early-peak,2020,all-year,R1,26.96250000000,gasboiler,3,2025
0,heat,all-week,late-peak,2020,all-year,R1,0.83330000000,gasboiler,4,2025
2,heat,all-week,late-peak,2020,all-year,R1,3.16670000000,heatpump,4,2025
0,CO2f,all-week,late-peak,2020,all-year,R1,53.92500000000,gasboiler,4,2025
0,heat,all-week,evening,2020,all-year,R1,0.55560000000,gasboiler,5,2025
2,heat,all-week,evening,2020,all-year,R1,2.11110000000,heatpump,5,2025
0,CO2f,all-week,evening,2020,all-year,R1,35.95000000000,gasboiler,5,2025
0,heat,all-week,night,2025,all-year,R1,0.22780000000,gasboiler,0,2030
1,heat,all-week,night,2020,all-year,R1,1.05560000000,heatpump,0,2030
2,heat,all-week,night,2025,all-year,R1,0.38330000000,heatpump,0,2030
0,CO2f,all-week,night,2025,all-year,R1,14.73950000000,gasboiler,0,2030
0,heat,all-week,morning,2025,all-year,R1,0.34170000000,gasboiler,1,2030
1,heat,all-week,morning,2020,all-year,R1,1.58330000000,heatpump,1,2030
2,heat,all-week,morning,2025,all-year,R1,0.57500000000,heatpump,1,2030
0,CO2f,all-week,morning,2025,all-year,R1,22.10920000000,gasboiler,1,2030
0,heat,all-week,afternoon,2025,all-year,R1,0.22780000000,gasboiler,2,2030
1,heat,all-week,afternoon,2020,all-year,R1,1.05560000000,heatpump,2,2030
2,heat,all-week,afternoon,2025,all-year,R1,0.38330000000,heatpump,2,2030
0,CO2f,all-week,afternoon,2025,all-year,R1,14.73950000000,gasboiler,2,2030
0,heat,all-week,early-peak,2025,all-year,R1,0.34170000000,gasboiler,3,2030
1,heat,all-week,early-peak,2020,all-year,R1,1.58330000000,heatpump,3,2030
2,heat,all-week,early-peak,2025,all-year,R1,0.57500000000,heatpump,3,2030
0,CO2f,all-week,early-peak,2025,all-year,R1,22.10920000000,gasboiler,3,2030
0,heat,all-week,late-peak,2025,all-year,R1,0.68330000000,gasboiler,4,2030
1,heat,all-week,late-peak,2020,all-year,R1,3.16670000000,heatpump,4,2030
2,heat,all-week,late-peak,2025,all-year,R1,1.15000000000,heatpump,4,2030
0,CO2f,all-week,late-peak,2025,all-year,R1,44.21850000000,gasboiler,4,2030
0,heat,all-week,evening,2025,all-year,R1,0.45560000000,gasboiler,5,2030
1,heat,all-week,evening,2020,all-year,R1,2.11110000000,heatpump,5,2030
2,heat,all-week,evening,2025,all-year,R1,0.76670000000,heatpump,5,2030
0,CO2f,all-week,evening,2025,all-year,R1,29.47900000000,gasboiler,5,2030
0,heat,all-week,night,2025,all-year,R1,0.22780000000,gasboiler,0,2035
2,heat,all-week,night,2025,all-year,R1,0.38330000000,heatpump,0,2035
3,heat,all-week,night,2030,all-year,R1,1.38890000000,heatpump,0,2035
0,CO2f,all-week,night,2025,all-year,R1,14.73950000000,gasboiler,0,2035
0,heat,all-week,morning,2025,all-year,R1,0.34170000000,gasboiler,1,2035
2,heat,all-week,morning,2025,all-year,R1,0.57500000000,heatpump,1,2035
3,heat,all-week,morning,2030,all-year,R1,2.08330000000,heatpump,1,2035
0,CO2f,all-week,morning,2025,all-year,R1,22.10920000000,gasboiler,1,2035
0,heat,all-week,afternoon,2025,all-year,R1,0.22780000000,gasboiler,2,2035
2,heat,all-week,afternoon,2025,all-year,R1,0.38330000000,heatpump,2,2035
3,heat,all-week,afternoon,2030,all-year,R1,1.38890000000,heatpump,2,2035
0,CO2f,all-week,afternoon,2025,all-year,R1,14.73950000000,gasboiler,2,2035
0,heat,all-week,early-peak,2025,all-year,R1,0.34170000000,gasboiler,3,2035
2,heat,all-week,early-peak,2025,all-year,R1,0.57500000000,heatpump,3,2035
3,heat,all-week,early-peak,2030,all-year,R1,2.08330000000,heatpump,3,2035
