commodity,asset,year,region,technology,installed,supply
heat,0,2045,R1,gasboiler,2035,3.78000000000
heat,3,2045,R1,heatpump,2035,22.22000000000
heat,4,2045,R1,heatpump,2040,35.66670000000
heat,4,2050,R1,heatpump,2040,38.00000000000
heat,5,2050,R1,heatpump,2045,34.00000000000
heat,6,2045,R2,gasboiler,2035,3.78000000000
heat,9,2045,R2,heatpump,2035,22.22000000000
heat,10,2045,R2,heatpump,2040,34.83330000000
heat,10,2050,R2,heatpump,2040,38.00000000000
heat,11,2050,R2,heatpump,2045,34.00000000000
CO2f,0,2045,R1,gasboiler,2035,244.60410000000
CO2f,6,2045,R2,gasboiler,2035,244.60410000000
