month,day,hour,region,technology,installed,supply
all-year,all-week,night,R1,windturbine,2020,0.33330000000
all-year,all-week,night,R1,windturbine,2020,0.20000000000
all-year,all-week,night,R1,windturbine,2025,0.33330000000
all-year,all-week,night,R1,windturbine,2025,0.20000000000
all-year,all-week,night,R1,windturbine,2030,0.40000000000
all-year,all-week,morning,R1,windturbine,2020,0.50000000000
all-year,all-week,morning,R1,windturbine,2020,0.30000000000
all-year,all-week,morning,R1,windturbine,2025,0.50000000000
all-year,all-week,morning,R1,windturbine,2025,0.30000000000
all-year,all-week,morning,R1,windturbine,2030,0.60000000000
all-year,all-week,afternoon,R1,windturbine,2020,0.33330000000
all-year,all-week,afternoon,R1,windturbine,2020,0.20000000000
all-year,all-week,afternoon,R1,windturbine,2025,0.33330000000
all-year,all-week,afternoon,R1,windturbine,2025,0.20000000000
all-year,all-week,afternoon,R1,windturbine,2030,0.40000000000
all-year,all-week,early-peak,R1,windturbine,2020,0.50000000000
all-year,all-week,early-peak,R1,windturbine,2020,0.30000000000
all-year,all-week,early-peak,R1,windturbine,2025,0.50000000000
all-year,all-week,early-peak,R1,windturbine,2025,0.30000000000
all-year,all-week,early-peak,R1,windturbine,2030,0.60000000000
all-year,all-week,late-peak,R1,windturbine,2020,1.00000000000
all-year,all-week,late-peak,R1,windturbine,2020,0.60000000000
all-year,all-week,late-peak,R1,windturbine,2025,1.00000000000
all-year,all-week,late-peak,R1,windturbine,2025,0.60000000000
all-year,all-week,late-peak,R1,windturbine,2030,1.20000000000
all-year,all-week,evening,R1,windturbine,2020,0.66670000000
all-year,all-week,evening,R1,windturbine,2020,0.40000000000
all-year,all-week,evening,R1,windturbine,2025,0.66670000000
all-year,all-week,evening,R1,windturbine,2025,0.40000000000
all-year,all-week,evening,R1,windturbine,2030,0.80000000000
