timeslice,commodity,region,prices,year
"('all-year', 'all-week', 'night')",electricity,R1,19.50000000000,2020
"('all-year', 'all-week', 'night')",electricity,R2,19.50000000000,2020
"('all-year', 'all-week', 'night')",gas,R1,7.15280000000,2020
"('all-year', 'all-week', 'night')",gas,R2,7.15280000000,2020
"('all-year', 'all-week', 'night')",heat,R1,100.00000000000,2020
"('all-year', 'all-week', 'night')",heat,R2,100.00000000000,2020
"('all-year', 'all-week', 'night')",CO2f,R1,0.08310000000,2020
"('all-year', 'all-week', 'night')",CO2f,R2,0.08310000000,2020
"('all-year', 'all-week', 'night')",cook,R1,100.00000000000,2020
"('all-year', 'all-week', 'night')",cook,R2,100.00000000000,2020
"('all-year', 'all-week', 'morning')",electricity,R1,19.50000000000,2020
"('all-year', 'all-week', 'morning')",electricity,R2,19.50000000000,2020
"('all-year', 'all-week', 'morning')",gas,R1,7.15280000000,2020
"('all-year', 'all-week', 'morning')",gas,R2,7.15280000000,2020
"('all-year', 'all-week', 'morning')",heat,R1,100.00000000000,2020
"('all-year', 'all-week', 'morning')",heat,R2,100.00000000000,2020
"('all-year', 'all-week', 'morning')",CO2f,R1,0.08310000000,2020
"('all-year', 'all-week', 'morning')",CO2f,R2,0.08310000000,2020
"('all-year', 'all-week', 'morning')",cook,R1,100.00000000000,2020
"('all-year', 'all-week', 'morning')",cook,R2,100.00000000000,2020
"('all-year', 'all-week', 'mid-afternoon')",electricity,R1,19.50000000000,2020
"('all-year', 'all-week', 'mid-afternoon')",electricity,R2,19.50000000000,2020
"('all-year', 'all-week', 'mid-afternoon')",gas,R1,7.15280000000,2020
"('all-year', 'all-week', 'mid-afternoon')",gas,R2,7.15280000000,2020
"('all-year', 'all-week', 'mid-afternoon')",heat,R1,100.00000000000,2020
"('all-year', 'all-week', 'mid-afternoon')",heat,R2,100.00000000000,2020
"('all-year', 'all-week', 'mid-afternoon')",CO2f,R1,0.08310000000,2020
"('all-year', 'all-week', 'mid-afternoon')",CO2f,R2,0.08310000000,2020
"('all-year', 'all-week', 'mid-afternoon')",cook,R1,100.00000000000,2020
"('all-year', 'all-week', 'mid-afternoon')",cook,R2,100.00000000000,2020
"('all-year', 'all-week', 'early-peak')",electricity,R1,19.50000000000,2020
"('all-year', 'all-week', 'early-peak')",electricity,R2,19.50000000000,2020
"('all-year', 'all-week', 'early-peak')",gas,R1,7.15280000000,2020
"('all-year', 'all-week', 'early-peak')",gas,R2,7.15280000000,2020
"('all-year', 'all-week', 'early-peak')",heat,R1,100.00000000000,2020
"('all-year', 'all-week', 'early-peak')",heat,R2,100.00000000000,2020
"('all-year', 'all-week', 'early-peak')",CO2f,R1,0.08310000000,2020
"('all-year', 'all-week', 'early-peak')",CO2f,R2,0.08310000000,2020
"('all-year', 'all-week', 'early-peak')",cook,R1,100.00000000000,2020
"('all-year', 'all-week', 'early-peak')",cook,R2,100.00000000000,2020
"('all-year', 'all-week', 'late-peak')",electricity,R1,19.50000000000,2020
"('all-year', 'all-week', 'late-peak')",electricity,R2,19.50000000000,2020
"('all-year', 'all-week', 'late-peak')",gas,R1,7.15280000000,2020
"('all-year', 'all-week', 'late-peak')",gas,R2,7.15280000000,2020
"('all-year', 'all-week', 'late-peak')",heat,R1,100.00000000000,2020
"('all-year', 'all-week', 'late-peak')",heat,R2,100.00000000000,2020
"('all-year', 'all-week', 'late-peak')",CO2f,R1,0.08310000000,2020
"('all-year', 'all-week', 'late-peak')",CO2f,R2,0.08310000000,2020
"('all-year', 'all-week', 'late-peak')",cook,R1,100.00000000000,2020
"('all-year', 'all-week', 'late-peak')",cook,R2,100.00000000000,2020
"('all-year', 'all-week', 'evening')",electricity,R1,19.50000000000,2020
"('all-year', 'all-week', 'evening')",electricity,R2,19.50000000000,2020
"('all-year', 'all-week', 'evening')",gas,R1,7.15280000000,2020
"('all-year', 'all-week', 'evening')",gas,R2,7.15280000000,2020
"('all-year', 'all-week', 'evening')",heat,R1,100.00000000000,2020
"('all-year', 'all-week', 'evening')",heat,R2,100.00000000000,2020
"('all-year', 'all-week', 'evening')",CO2f,R1,0.08310000000,2020
"('all-year', 'all-week', 'evening')",CO2f,R2,0.08310000000,2020
"('all-year', 'all-week', 'evening')",cook,R1,100.00000000000,2020
"('all-year', 'all-week', 'evening')",cook,R2,100.00000000000,2020
"('all-year', 'all-week', 'early-morning')",electricity,R1,19.50000000000,2020
"('all-year', 'all-week', 'early-morning')",electricity,R2,19.50000000000,2020
"('all-year', 'all-week', 'early-morning')",gas,R1,7.15280000000,2020
"('all-year', 'all-week', 'early-morning')",gas,R2,7.15280000000,2020
"('all-year', 'all-week', 'early-morning')",heat,R1,100.00000000000,2020
"('all-year', 'all-week', 'early-morning')",heat,R2,100.00000000000,2020
"('all-year', 'all-week', 'early-morning')",CO2f,R1,0.08310000000,2020
"('all-year', 'all-week', 'early-morning')",CO2f,R2,0.08310000000,2020
"('all-year', 'all-week', 'early-morning')",cook,R1,100.00000000000,2020
"('all-year', 'all-week', 'early-morning')",cook,R2,100.00000000000,2020
"('all-year', 'all-week', 'late-afternoon')",electricity,R1,19.50000000000,2020
"('all-year', 'all-week', 'late-afternoon')",electricity,R2,19.50000000000,2020
"('all-year', 'all-week', 'late-afternoon')",gas,R1,7.15280000000,2020
"('all-year', 'all-week', 'late-afternoon')",gas,R2,7.15280000000,2020
"('all-year', 'all-week', 'late-afternoon')",heat,R1,100.00000000000,2020
"('all-year', 'all-week', 'late-afternoon')",heat,R2,100.00000000000,2020
"('all-year', 'all-week', 'late-afternoon')",CO2f,R1,0.08310000000,2020
"('all-year', 'all-week', 'late-afternoon')",CO2f,R2,0.08310000000,2020
"('all-year', 'all-week', 'late-afternoon')",cook,R1,100.00000000000,2020
"('all-year', 'all-week', 'late-afternoon')",cook,R2,100.00000000000,2020
"('all-year', 'all-week', 'night')",electricity,R1,0.19730000000,2025
"('all-year', 'all-week', 'night')",electricity,R2,0.19730000000,2025
"('all-year', 'all-week', 'night')",gas,R1,0.02530000000,2025
"('all-year', 'all-week', 'night')",gas,R2,0.02530000000,2025
"('all-year', 'all-week', 'night')",heat,R1,0.76890000000,2025
"('all-year', 'all-week', 'night')",heat,R2,0.76890000000,2025
"('all-year', 'all-week', 'night')",CO2f,R1,0.12010000000,2025
"('all-year', 'all-week', 'night')",CO2f,R2,0.12010000000,2025
"('all-year', 'all-week', 'night')",cook,R1,0.74130000000,2025
"('all-year', 'all-week', 'night')",cook,R2,0.74130000000,2025
"('all-year', 'all-week', 'morning')",electricity,R1,0.29590000000,2025
"('all-year', 'all-week', 'morning')",electricity,R2,0.29590000000,2025
"('all-year', 'all-week', 'morning')",gas,R1,0.03790000000,2025
"('all-year', 'all-week', 'morning')",gas,R2,0.03790000000,2025
"('all-year', 'all-week', 'morning')",heat,R1,1.15340000000,2025
"('all-year', 'all-week', 'morning')",heat,R2,1.15340000000,2025
"('all-year', 'all-week', 'morning')",CO2f,R1,0.12010000000,2025
"('all-year', 'all-week', 'morning')",CO2f,R2,0.12010000000,2025
"('all-year', 'all-week', 'morning')",cook,R1,1.11200000000,2025
"('all-year', 'all-week', 'morning')",cook,R2,1.11200000000,2025
"('all-year', 'all-week', 'mid-afternoon')",electricity,R1,0.19730000000,2025
"('all-year', 'all-week', 'mid-afternoon')",electricity,R2,0.19730000000,2025
"('all-year', 'all-week', 'mid-afternoon')",gas,R1,0.02530000000,2025
"('all-year', 'all-week', 'mid-afternoon')",gas,R2,0.02530000000,2025
"('all-year', 'all-week', 'mid-afternoon')",heat,R1,0.76890000000,2025
"('all-year', 'all-week', 'mid-afternoon')",heat,R2,0.76890000000,2025
"('all-year', 'all-week', 'mid-afternoon')",CO2f,R1,0.12010000000,2025
"('all-year', 'all-week', 'mid-afternoon')",CO2f,R2,0.12010000000,2025
"('all-year', 'all-week', 'mid-afternoon')",cook,R1,0.74130000000,2025
"('all-year', 'all-week', 'mid-afternoon')",cook,R2,0.74130000000,2025
"('all-year', 'all-week', 'early-peak')",electricity,R1,0.29590000000,2025
"('all-year', 'all-week', 'early-peak')",electricity,R2,0.29590000000,2025
"('all-year', 'all-week', 'early-peak')",gas,R1,0.03790000000,2025
"('all-year', 'all-week', 'early-peak')",gas,R2,0.03790000000,2025
"('all-year', 'all-week', 'early-peak')",heat,R1,1.15340000000,2025
"('all-year', 'all-week', 'early-peak')",heat,R2,1.15340000000,2025
"('all-year', 'all-week', 'early-peak')",CO2f,R1,0.12010000000,2025
"('all-year', 'all-week', 'early-peak')",CO2f,R2,0.12010000000,2025
"('all-year', 'all-week', 'early-peak')",cook,R1,1.11200000000,2025
"('all-year', 'all-week', 'early-peak')",cook,R2,1.11200000000,2025
"('all-year', 'all-week', 'late-peak')",electricity,R1,0.59210000000,2025
"('all-year', 'all-week', 'late-peak')",electricity,R2,0.59210000000,2025
"('all-year', 'all-week', 'late-peak')",gas,R1,0.07590000000,2025
"('all-year', 'all-week', 'late-peak')",gas,R2,0.07590000000,2025
"('all-year', 'all-week', 'late-peak')",heat,R1,2.30780000000,2025
"('all-year', 'all-week', 'late-peak')",heat,R2,2.30780000000,2025
"('all-year', 'all-week', 'late-peak')",CO2f,R1,0.12010000000,2025
"('all-year', 'all-week', 'late-peak')",CO2f,R2,0.12010000000,2025
"('all-year', 'all-week', 'late-peak')",cook,R1,2.22500000000,2025
"('all-year', 'all-week', 'late-peak')",cook,R2,2.22500000000,2025
"('all-year', 'all-week', 'evening')",electricity,R1,0.39480000000,2025
"('all-year', 'all-week', 'evening')",electricity,R2,0.39480000000,2025
"('all-year', 'all-week', 'evening')",gas,R1,0.05060000000,2025
"('all-year', 'all-week', 'evening')",gas,R2,0.05060000000,2025
"('all-year', 'all-week', 'evening')",heat,R1,1.53890000000,2025
"('all-year', 'all-week', 'evening')",heat,R2,1.53890000000,2025
"('all-year', 'all-week', 'evening')",CO2f,R1,0.12010000000,2025
"('all-year', 'all-week', 'evening')",CO2f,R2,0.12010000000,2025
"('all-year', 'all-week', 'evening')",cook,R1,1.48370000000,2025
"('all-year', 'all-week', 'evening')",cook,R2,1.48370000000,2025
"('all-year', 'all-week', 'early-morning')",electricity,R1,0.39480000000,2025
"('all-year', 'all-week', 'early-morning')",electricity,R2,0.39480000000,2025
"('all-year', 'all-week', 'early-morning')",gas,R1,0.05060000000,2025
"('all-year', 'all-week', 'early-morning')",gas,R2,0.05060000000,2025
"('all-year', 'all-week', 'early-morning')",heat,R1,1.53890000000,2025
"('all-year', 'all-week', 'early-morning')",heat,R2,1.53890000000,2025
"('all-year', 'all-week', 'early-morning')",CO2f,R1,0.12010000000,2025
"('all-year', 'all-week', 'early-morning')",CO2f,R2,0.12010000000,2025
"('all-year', 'all-week', 'early-morning')",cook,R1,1.48370000000,2025
"('all-year', 'all-week', 'early-morning')",cook,R2,1.48370000000,2025
"('all-year', 'all-week', 'late-afternoon')",electricity,R1,0.39480000000,2025
"('all-year', 'all-week', 'late-afternoon')",electricity,R2,0.39480000000,2025
"('all-year', 'all-week', 'late-afternoon')",gas,R1,0.05060000000,2025
"('all-year', 'all-week', 'late-afternoon')",gas,R2,0.05060000000,2025
"('all-year', 'all-week', 'late-afternoon')",heat,R1,1.53890000000,2025
"('all-year', 'all-week', 'late-afternoon')",heat,R2,1.53890000000,2025
"('all-year', 'all-week', 'late-afternoon')",CO2f,R1,0.12010000000,2025
"('all-year', 'all-week', 'late-afternoon')",CO2f,R2,0.12010000000,2025
"('all-year', 'all-week', 'late-afternoon')",cook,R1,1.48370000000,2025
"('all-year', 'all-week', 'late-afternoon')",cook,R2,1.48370000000,2025
