agent,capacity,dst_region,installed,region,sector,technology,type,year
A1,5.00000000000,R1,2020,R1,residential,gasboiler,newcapa,2020
A2,5.00000000000,R1,2020,R1,residential,gasboiler,newcapa,2020
A1,0.50000000000,R1,2020,R1,power,gasCCGT,newcapa,2020
A2,0.50000000000,R1,2020,R1,power,gasCCGT,newcapa,2020
A1,7.50000000000,R1,2020,R1,gas,gassupply1,newcapa,2020
A2,7.50000000000,R1,2020,R1,gas,gassupply1,newcapa,2020
A1,2.50000000000,R1,2020,R1,residential,gasboiler,newcapa,2025
A1,1.90630000000,R1,2025,R1,residential,gasboiler,newcapa,2025
A1,7.59380000000,R1,2025,R1,residential,heatpump,newcapa,2025
A2,2.50000000000,R1,2020,R1,residential,gasboiler,newcapa,2025
A2,9.50000000000,R1,2025,R1,residential,gasboiler,newcapa,2025
A1,0.50000000000,R1,2020,R1,power,gasCCGT,newcapa,2025
A1,1.18750000000,R1,2025,R1,power,gasCCGT,newcapa,2025
A2,0.50000000000,R1,2020,R1,power,gasCCGT,newcapa,2025
A2,2.67190000000,R1,2025,R1,power,windturbine,newcapa,2025
A1,7.50000000000,R1,2020,R1,gas,gassupply1,newcapa,2025
A1,4.89950000000,R1,2025,R1,gas,gassupply1,newcapa,2025
A2,7.50000000000,R1,2020,R1,gas,gassupply1,newcapa,2025
A2,4.89950000000,R1,2025,R1,gas,gassupply1,newcapa,2025
A1,1.90630000000,R1,2025,R1,residential,gasboiler,newcapa,2030
A1,7.59380000000,R1,2025,R1,residential,heatpump,newcapa,2030
A1,5.50000000000,R1,2030,R1,residential,heatpump,newcapa,2030
A2,9.50000000000,R1,2025,R1,residential,gasboiler,newcapa,2030
A2,5.50000000000,R1,2030,R1,residential,gasboiler,newcapa,2030
A1,1.18750000000,R1,2025,R1,power,gasCCGT,newcapa,2030
A1,3.87500000000,R1,2030,R1,power,windturbine,newcapa,2030
A2,2.67190000000,R1,2025,R1,power,windturbine,newcapa,2030
A2,3.87500000000,R1,2030,R1,power,windturbine,newcapa,2030
A1,3.75000000000,R1,2020,R1,gas,gassupply1,newcapa,2030
A1,4.89950000000,R1,2025,R1,gas,gassupply1,newcapa,2030
A1,3.23720000000,R1,2030,R1,gas,gassupply1,newcapa,2030
A2,3.75000000000,R1,2020,R1,gas,gassupply1,newcapa,2030
A2,4.89950000000,R1,2025,R1,gas,gassupply1,newcapa,2030
A2,3.23720000000,R1,2030,R1,gas,gassupply1,newcapa,2030
A1,5.50000000000,R1,2030,R1,residential,heatpump,newcapa,2035
A1,12.50000000000,R1,2035,R1,residential,heatpump,newcapa,2035
A2,5.50000000000,R1,2030,R1,residential,gasboiler,newcapa,2035
A2,12.50000000000,R1,2035,R1,residential,gasboiler,newcapa,2035
A1,1.18750000000,R1,2025,R1,power,gasCCGT,newcapa,2035
A1,3.87500000000,R1,2030,R1,power,windturbine,newcapa,2035
A1,2.45310000000,R1,2035,R1,power,windturbine,newcapa,2035
A2,2.67190000000,R1,2025,R1,power,windturbine,newcapa,2035
A2,3.87500000000,R1,2030,R1,power,windturbine,newcapa,2035
A2,2.45310000000,R1,2035,R1,power,windturbine,newcapa,2035
A1,4.89950000000,R1,2025,R1,gas,gassupply1,newcapa,2035
A1,3.23720000000,R1,2030,R1,gas,gassupply1,newcapa,2035
A1,4.45490000000,R1,2035,R1,gas,gassupply1,newcapa,2035
A2,4.89950000000,R1,2025,R1,gas,gassupply1,newcapa,2035
A2,3.23720000000,R1,2030,R1,gas,gassupply1,newcapa,2035
A2,4.45490000000,R1,2035,R1,gas,gassupply1,newcapa,2035
A1,12.50000000000,R1,2035,R1,residential,heatpump,newcapa,2040
A1,8.50000000000,R1,2040,R1,residential,heatpump,newcapa,2040
A2,12.50000000000,R1,2035,R1,residential,gasboiler,newcapa,2040
A2,8.50000000000,R1,2040,R1,residential,gasboiler,newcapa,2040
