agent,capacity,dst_region,installed,region,sector,technology,type,year
A1,5.0000,r1,2020,r1,residential,gasboiler,newcapa,2020
A2,5.0000,r1,2020,r1,residential,gasboiler,newcapa,2020
A1,0.5000,r1,2020,r1,power,gasCCGT,newcapa,2020
A2,0.5000,r1,2020,r1,power,gasCCGT,newcapa,2020
A1,7.5000,r1,2020,r1,gas,gassupply1,newcapa,2020
A2,7.5000,r1,2020,r1,gas,gassupply1,newcapa,2020
A1,2.5000,r1,2020,r1,residential,gasboiler,newcapa,2025
A1,1.9063,r1,2025,r1,residential,gasboiler,newcapa,2025
A1,7.5938,r1,2025,r1,residential,heatpump,newcapa,2025
A2,2.5000,r1,2020,r1,residential,gasboiler,newcapa,2025
A2,9.5000,r1,2025,r1,residential,gasboiler,newcapa,2025
A1,0.5000,r1,2020,r1,power,gasCCGT,newcapa,2025
A1,1.1875,r1,2025,r1,power,gasCCGT,newcapa,2025
A2,0.5000,r1,2020,r1,power,gasCCGT,newcapa,2025
A2,2.6719,r1,2025,r1,power,windturbine,newcapa,2025
A1,7.5000,r1,2020,r1,gas,gassupply1,newcapa,2025
A1,4.8995,r1,2025,r1,gas,gassupply1,newcapa,2025
A2,7.5000,r1,2020,r1,gas,gassupply1,newcapa,2025
A2,4.8995,r1,2025,r1,gas,gassupply1,newcapa,2025
A1,1.9063,r1,2025,r1,residential,gasboiler,newcapa,2030
A1,7.5938,r1,2025,r1,residential,heatpump,newcapa,2030
A1,5.5000,r1,2030,r1,residential,heatpump,newcapa,2030
A2,9.5000,r1,2025,r1,residential,gasboiler,newcapa,2030
A2,5.5000,r1,2030,r1,residential,gasboiler,newcapa,2030
A1,1.1875,r1,2025,r1,power,gasCCGT,newcapa,2030
A1,3.8750,r1,2030,r1,power,windturbine,newcapa,2030
A2,2.6719,r1,2025,r1,power,windturbine,newcapa,2030
A2,3.8750,r1,2030,r1,power,windturbine,newcapa,2030
A1,3.7500,r1,2020,r1,gas,gassupply1,newcapa,2030
A1,4.8995,r1,2025,r1,gas,gassupply1,newcapa,2030
A1,3.2372,r1,2030,r1,gas,gassupply1,newcapa,2030
A2,3.7500,r1,2020,r1,gas,gassupply1,newcapa,2030
A2,4.8995,r1,2025,r1,gas,gassupply1,newcapa,2030
A2,3.2372,r1,2030,r1,gas,gassupply1,newcapa,2030
A1,5.5000,r1,2030,r1,residential,heatpump,newcapa,2035
