asset,year,region,technology,installed,capacity
0,2020,R1,gasCCGT,2020,1.00000000000
0,2022,R1,gasCCGT,2020,1.00000000000
0,2024,R1,gasCCGT,2020,1.00000000000
0,2025,R1,gasCCGT,2020,1.00000000000
0,2026,R1,gasCCGT,2020,0.80000000000
0,2028,R1,gasCCGT,2020,0.40000000000
1,2028,R1,solarPV,2026,5.16960000000
1,2030,R1,solarPV,2026,5.16960000000
1,2035,R1,solarPV,2026,5.16960000000
1,2040,R1,solarPV,2026,5.16960000000
1,2045,R1,solarPV,2026,5.16960000000
1,2046,R1,solarPV,2026,5.16960000000
1,2047,R1,solarPV,2026,5.16960000000
1,2048,R1,solarPV,2026,5.16960000000
1,2049,R1,solarPV,2026,5.16960000000
1,2050,R1,solarPV,2026,5.16960000000
1,2051,R1,solarPV,2026,5.16960000000
1,2052,R1,solarPV,2026,5.16960000000
2,2030,R1,solarPV,2028,5.20080000000
2,2035,R1,solarPV,2028,5.20080000000
2,2040,R1,solarPV,2028,5.20080000000
2,2045,R1,solarPV,2028,5.20080000000
2,2046,R1,solarPV,2028,5.20080000000
2,2047,R1,solarPV,2028,5.20080000000
2,2048,R1,solarPV,2028,5.20080000000
2,2049,R1,solarPV,2028,5.20080000000
2,2050,R1,solarPV,2028,5.20080000000
2,2051,R1,solarPV,2028,5.20080000000
2,2052,R1,solarPV,2028,5.20080000000
2,2053,R1,solarPV,2028,5.20080000000
2,2054,R1,solarPV,2028,5.20080000000
3,2022,R1,windturbine,2020,8.77320000000
3,2024,R1,windturbine,2020,8.77320000000
3,2025,R1,windturbine,2020,8.77320000000
3,2026,R1,windturbine,2020,8.77320000000
3,2028,R1,windturbine,2020,8.77320000000
3,2030,R1,windturbine,2020,8.77320000000
3,2035,R1,windturbine,2020,8.77320000000
3,2040,R1,windturbine,2020,8.77320000000
3,2045,R1,windturbine,2020,8.77320000000
3,2046,R1,windturbine,2020,8.77320000000
4,2024,R1,windturbine,2022,4.17680000000
4,2025,R1,windturbine,2022,4.17680000000
4,2026,R1,windturbine,2022,4.17680000000
4,2028,R1,windturbine,2022,4.17680000000
4,2030,R1,windturbine,2022,4.17680000000
4,2035,R1,windturbine,2022,4.17680000000
4,2040,R1,windturbine,2022,4.17680000000
4,2045,R1,windturbine,2022,4.17680000000
4,2046,R1,windturbine,2022,4.17680000000
4,2047,R1,windturbine,2022,4.17680000000
4,2048,R1,windturbine,2022,4.17680000000
5,2026,R1,windturbine,2024,4.67960000000
5,2028,R1,windturbine,2024,4.67960000000
5,2030,R1,windturbine,2024,4.67960000000
5,2035,R1,windturbine,2024,4.67960000000
5,2040,R1,windturbine,2024,4.67960000000
5,2045,R1,windturbine,2024,4.67960000000
5,2046,R1,windturbine,2024,4.67960000000
5,2047,R1,windturbine,2024,4.67960000000
5,2048,R1,windturbine,2024,4.67960000000
5,2049,R1,windturbine,2024,4.67960000000
5,2050,R1,windturbine,2024,4.67960000000
6,2020,R2,gasCCGT,2020,1.00000000000
6,2022,R2,gasCCGT,2020,1.00000000000
6,2024,R2,gasCCGT,2020,1.00000000000
6,2025,R2,gasCCGT,2020,1.00000000000
6,2026,R2,gasCCGT,2020,0.80000000000
6,2028,R2,gasCCGT,2020,0.40000000000
7,2028,R2,solarPV,2026,5.16960000000
7,2030,R2,solarPV,2026,5.16960000000
7,2035,R2,solarPV,2026,5.16960000000
7,2040,R2,solarPV,2026,5.16960000000
7,2045,R2,solarPV,2026,5.16960000000
7,2046,R2,solarPV,2026,5.16960000000
7,2047,R2,solarPV,2026,5.16960000000
7,2048,R2,solarPV,2026,5.16960000000
7,2049,R2,solarPV,2026,5.16960000000
7,2050,R2,solarPV,2026,5.16960000000
7,2051,R2,solarPV,2026,5.16960000000
7,2052,R2,solarPV,2026,5.16960000000
8,2030,R2,solarPV,2028,5.20080000000
8,2035,R2,solarPV,2028,5.20080000000
8,2040,R2,solarPV,2028,5.20080000000
8,2045,R2,solarPV,2028,5.20080000000
8,2046,R2,solarPV,2028,5.20080000000
8,2047,R2,solarPV,2028,5.20080000000
8,2048,R2,solarPV,2028,5.20080000000
8,2049,R2,solarPV,2028,5.20080000000
8,2050,R2,solarPV,2028,5.20080000000
8,2051,R2,solarPV,2028,5.20080000000
8,2052,R2,solarPV,2028,5.20080000000
8,2053,R2,solarPV,2028,5.20080000000
8,2054,R2,solarPV,2028,5.20080000000
9,2022,R2,windturbine,2020,8.77320000000
9,2024,R2,windturbine,2020,8.77320000000
9,2025,R2,windturbine,2020,8.77320000000
9,2026,R2,windturbine,2020,8.77320000000
9,2028,R2,windturbine,2020,8.77320000000
9,2030,R2,windturbine,2020,8.77320000000
9,2035,R2,windturbine,2020,8.77320000000
9,2040,R2,windturbine,2020,8.77320000000
9,2045,R2,windturbine,2020,8.77320000000
9,2046,R2,windturbine,2020,8.77320000000
10,2024,R2,windturbine,2022,4.17680000000
10,2025,R2,windturbine,2022,4.17680000000
10,2026,R2,windturbine,2022,4.17680000000
10,2028,R2,windturbine,2022,4.17680000000
10,2030,R2,windturbine,2022,4.17680000000
