,asset,year,technology,region,installed,capacity
0,0,2045,heatpump,R1,2035,23.28530000000
1,0,2049,heatpump,R1,2035,23.28530000000
7,1,2045,heatpump,R1,2040,39.57200000000
8,1,2049,heatpump,R1,2040,39.57200000000
9,1,2050,heatpump,R1,2040,39.57200000000
10,1,2054,heatpump,R1,2040,39.57200000000
16,2,2050,heatpump,R1,2045,32.42800000000
17,2,2054,heatpump,R1,2045,32.42800000000
18,2,2055,heatpump,R1,2045,32.42800000000
19,2,2059,heatpump,R1,2045,32.42800000000
21,3,2045,heatpump,R2,2035,23.28530000000
22,3,2049,heatpump,R2,2035,23.28530000000
28,4,2045,heatpump,R2,2040,39.57200000000
29,4,2049,heatpump,R2,2040,39.57200000000
30,4,2050,heatpump,R2,2040,39.57200000000
31,4,2054,heatpump,R2,2040,39.57200000000
37,5,2050,heatpump,R2,2045,32.42800000000
38,5,2054,heatpump,R2,2045,32.42800000000
39,5,2055,heatpump,R2,2045,32.42800000000
40,5,2059,heatpump,R2,2045,32.42800000000
