,asset,year,technology,region,installed,capacity
0,0,2040,heatpump,R1,2030,23.57330000000
1,0,2044,heatpump,R1,2030,23.57330000000
7,1,2040,heatpump,R1,2035,16.42930000000
8,1,2044,heatpump,R1,2035,16.42930000000
9,1,2045,heatpump,R1,2035,16.42930000000
10,1,2049,heatpump,R1,2035,16.42930000000
16,2,2045,heatpump,R1,2040,29.28800000000
17,2,2049,heatpump,R1,2040,29.28800000000
18,2,2050,heatpump,R1,2040,29.28800000000
19,2,2054,heatpump,R1,2040,29.28800000000
21,3,2040,heatpump,R2,2030,23.57330000000
22,3,2044,heatpump,R2,2030,23.57330000000
28,4,2040,heatpump,R2,2035,16.42930000000
29,4,2044,heatpump,R2,2035,16.42930000000
30,4,2045,heatpump,R2,2035,16.42930000000
31,4,2049,heatpump,R2,2035,16.42930000000
37,5,2045,heatpump,R2,2040,29.28800000000
38,5,2049,heatpump,R2,2040,29.28800000000
39,5,2050,heatpump,R2,2040,29.28800000000
40,5,2054,heatpump,R2,2040,29.28800000000
