asset,year,technology,region,installed,capacity
0,2040,gasboiler,R1,2035,0.88600000000
0,2044,gasboiler,R1,2035,0.88600000000
0,2045,gasboiler,R1,2035,0.88600000000
0,2049,gasboiler,R1,2035,0.88600000000
1,2040,gasboiler,R2,2035,0.88600000000
1,2044,gasboiler,R2,2035,0.88600000000
1,2045,gasboiler,R2,2035,0.88600000000
1,2049,gasboiler,R2,2035,0.88600000000
2,2040,heatpump,R1,2030,23.00000000000
2,2044,heatpump,R1,2030,23.00000000000
3,2040,heatpump,R1,2035,15.31400000000
3,2044,heatpump,R1,2035,15.31400000000
3,2045,heatpump,R1,2035,15.31400000000
3,2049,heatpump,R1,2035,15.31400000000
4,2045,heatpump,R1,2040,28.60000000000
4,2049,heatpump,R1,2040,28.60000000000
4,2050,heatpump,R1,2040,28.60000000000
4,2054,heatpump,R1,2040,28.60000000000
5,2040,heatpump,R2,2030,23.00000000000
5,2044,heatpump,R2,2030,23.00000000000
6,2040,heatpump,R2,2035,15.31400000000
6,2044,heatpump,R2,2035,15.31400000000
6,2045,heatpump,R2,2035,15.31400000000
6,2049,heatpump,R2,2035,15.31400000000
7,2045,heatpump,R2,2040,28.60000000000
7,2049,heatpump,R2,2040,28.60000000000
7,2050,heatpump,R2,2040,28.60000000000
7,2054,heatpump,R2,2040,28.60000000000
