technology,dst_region,region,agent,sector,type,year,capacity
gasboiler,R1,R1,A1,residential,retrofit,2020,10.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2020,1.00000000000
gassupply1,R1,R1,A1,gas,retrofit,2020,15.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2025,5.00000000000
heatpump,R1,R1,A1,residential,retrofit,2025,19.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2025,4.00000000000
windturbine,R1,R1,A1,power,retrofit,2025,10.00000000000
gassupply1,R1,R1,A1,gas,retrofit,2025,15.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2030,4.10000000000
heatpump,R1,R1,A1,residential,retrofit,2030,19.00000000000
heatpump,R1,R1,A1,residential,retrofit,2030,6.90000000000
gasCCGT,R1,R1,A1,power,retrofit,2030,3.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2030,4.06670000000
windturbine,R1,R1,A1,power,retrofit,2030,10.00000000000
gassupply1,R1,R1,A1,gas,retrofit,2030,7.50000000000
gassupply1,R1,R1,A1,gas,retrofit,2030,9.58580000000
gasboiler,R1,R1,A1,residential,retrofit,2035,4.10000000000
heatpump,R1,R1,A1,residential,retrofit,2035,6.90000000000
heatpump,R1,R1,A1,residential,retrofit,2035,25.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2035,3.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2035,4.06670000000
gasCCGT,R1,R1,A1,power,retrofit,2035,2.66670000000
windturbine,R1,R1,A1,power,retrofit,2035,10.00000000000
gassupply1,R1,R1,A1,gas,retrofit,2035,9.58580000000
gassupply1,R1,R1,A1,gas,retrofit,2035,11.95330000000
gasboiler,R1,R1,A1,residential,retrofit,2040,0.91000000000
heatpump,R1,R1,A1,residential,retrofit,2040,25.00000000000
heatpump,R1,R1,A1,residential,retrofit,2040,16.09000000000
gasCCGT,R1,R1,A1,power,retrofit,2040,3.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2040,4.06670000000
gasCCGT,R1,R1,A1,power,retrofit,2040,2.66670000000
windturbine,R1,R1,A1,power,retrofit,2040,10.00000000000
windturbine,R1,R1,A1,power,retrofit,2040,9.19000000000
gassupply1,R1,R1,A1,gas,retrofit,2040,9.58580000000
gassupply1,R1,R1,A1,gas,retrofit,2040,11.95330000000
gasboiler,R1,R1,A1,residential,retrofit,2045,0.91000000000
heatpump,R1,R1,A1,residential,retrofit,2045,16.09000000000
heatpump,R1,R1,A1,residential,retrofit,2045,31.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2045,3.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2045,4.06670000000
gasCCGT,R1,R1,A1,power,retrofit,2045,2.66670000000
windturbine,R1,R1,A1,power,retrofit,2045,10.00000000000
windturbine,R1,R1,A1,power,retrofit,2045,9.19000000000
windturbine,R1,R1,A1,power,retrofit,2045,6.00000000000
gassupply1,R1,R1,A1,gas,retrofit,2045,9.58580000000
gassupply1,R1,R1,A1,gas,retrofit,2045,11.95330000000
heatpump,R1,R1,A1,residential,retrofit,2050,31.00000000000
heatpump,R1,R1,A1,residential,retrofit,2050,23.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2050,3.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2050,4.06670000000
gasCCGT,R1,R1,A1,power,retrofit,2050,2.66670000000
windturbine,R1,R1,A1,power,retrofit,2050,9.19000000000
windturbine,R1,R1,A1,power,retrofit,2050,6.00000000000
windturbine,R1,R1,A1,power,retrofit,2050,16.91000000000
gassupply1,R1,R1,A1,gas,retrofit,2050,9.58580000000
gassupply1,R1,R1,A1,gas,retrofit,2050,11.95330000000
