agent,asset,category,comm_usage,commodity,consumption,dst_region,index,installed,region,sector,technology,timeslice,units_prices,year
A1,0.00000000000,retrofit,CommodityUsage.ENERGY|CONSUMABLE,gas,1.16000000000,R1,1,2020.00000000000,R1,residential,gasboiler,"('all-year', 'all-week', 'night')",MUS$2010/PJ,2020.00000000000
A1,0.00000000000,retrofit,CommodityUsage.ENERGY|CONSUMABLE,gas,1.74000000000,R1,9,2020.00000000000,R1,residential,gasboiler,"('all-year', 'all-week', 'morning')",MUS$2010/PJ,2020.00000000000
A1,0.00000000000,retrofit,CommodityUsage.ENERGY|CONSUMABLE,gas,1.16000000000,R1,17,2020.00000000000,R1,residential,gasboiler,"('all-year', 'all-week', 'afternoon')",MUS$2010/PJ,2020.00000000000
A1,0.00000000000,retrofit,CommodityUsage.ENERGY|CONSUMABLE,gas,1.74000000000,R1,25,2020.00000000000,R1,residential,gasboiler,"('all-year', 'all-week', 'early-peak')",MUS$2010/PJ,2020.00000000000
A1,0.00000000000,retrofit,CommodityUsage.ENERGY|CONSUMABLE,gas,3.48000000000,R1,33,2020.00000000000,R1,residential,gasboiler,"('all-year', 'all-week', 'late-peak')",MUS$2010/PJ,2020.00000000000
A1,0.00000000000,retrofit,CommodityUsage.ENERGY|CONSUMABLE,gas,2.32000000000,R1,41,2020.00000000000,R1,residential,gasboiler,"('all-year', 'all-week', 'evening')",MUS$2010/PJ,2020.00000000000
A1,0.00000000000,retrofit,CommodityUsage.ENERGY|CONSUMABLE,gas,0.32222222222,R1,1,2020.00000000000,R1,residential,gasboiler,"('all-year', 'all-week', 'night')",MUS$2010/PJ,2025.00000000000
A1,1.00000000000,retrofit,CommodityUsage.ENERGY|CONSUMABLE,electricity,0.42222222222,R1,4,2020.00000000000,R1,residential,heatpump,"('all-year', 'all-week', 'night')",MUS$2010/PJ,2025.00000000000
A1,0.00000000000,retrofit,CommodityUsage.ENERGY|CONSUMABLE,gas,0.48333333333,R1,17,2020.00000000000,R1,residential,gasboiler,"('all-year', 'all-week', 'morning')",MUS$2010/PJ,2025.00000000000
A1,1.00000000000,retrofit,CommodityUsage.ENERGY|CONSUMABLE,electricity,0.63333333333,R1,20,2020.00000000000,R1,residential,heatpump,"('all-year', 'all-week', 'morning')",MUS$2010/PJ,2025.00000000000
A1,0.00000000000,retrofit,CommodityUsage.ENERGY|CONSUMABLE,gas,0.32222222222,R1,33,2020.00000000000,R1,residential,gasboiler,"('all-year', 'all-week', 'afternoon')",MUS$2010/PJ,2025.00000000000
A1,1.00000000000,retrofit,CommodityUsage.ENERGY|CONSUMABLE,electricity,0.42222222222,R1,36,2020.00000000000,R1,residential,heatpump,"('all-year', 'all-week', 'afternoon')",MUS$2010/PJ,2025.00000000000
A1,0.00000000000,retrofit,CommodityUsage.ENERGY|CONSUMABLE,gas,0.48333333333,R1,49,2020.00000000000,R1,residential,gasboiler,"('all-year', 'all-week', 'early-peak')",MUS$2010/PJ,2025.00000000000
A1,1.00000000000,retrofit,CommodityUsage.ENERGY|CONSUMABLE,electricity,0.63333333333,R1,52,2020.00000000000,R1,residential,heatpump,"('all-year', 'all-week', 'early-peak')",MUS$2010/PJ,2025.00000000000
