asset,year,technology,region,installed,capacity
0,2030,gasboiler,R1,2025,4.10000000000
0,2034,gasboiler,R1,2025,4.10000000000
0,2035,gasboiler,R1,2025,4.10000000000
0,2039,gasboiler,R1,2025,4.10000000000
1,2030,gasboiler,R2,2025,4.10000000000
1,2034,gasboiler,R2,2025,4.10000000000
1,2035,gasboiler,R2,2025,4.10000000000
1,2039,gasboiler,R2,2025,4.10000000000
2,2030,heatpump,R1,2020,19.00000000000
2,2034,heatpump,R1,2020,19.00000000000
3,2030,heatpump,R1,2025,6.90000000000
3,2034,heatpump,R1,2025,6.90000000000
3,2035,heatpump,R1,2025,6.90000000000
3,2039,heatpump,R1,2025,6.90000000000
4,2035,heatpump,R1,2030,25.00000000000
4,2039,heatpump,R1,2030,25.00000000000
4,2040,heatpump,R1,2030,25.00000000000
4,2044,heatpump,R1,2030,25.00000000000
5,2030,heatpump,R2,2020,19.00000000000
5,2034,heatpump,R2,2020,19.00000000000
6,2030,heatpump,R2,2025,6.90000000000
6,2034,heatpump,R2,2025,6.90000000000
6,2035,heatpump,R2,2025,6.90000000000
6,2039,heatpump,R2,2025,6.90000000000
7,2035,heatpump,R2,2030,25.00000000000
7,2039,heatpump,R2,2030,25.00000000000
7,2040,heatpump,R2,2030,25.00000000000
7,2044,heatpump,R2,2030,25.00000000000
