asset,year,region,technology,installed,capacity
2,2050,R1,heatpump,2040,31.00000000000
2,2054,R1,heatpump,2040,31.00000000000
3,2050,R1,heatpump,2045,23.00000000000
3,2054,R1,heatpump,2045,23.00000000000
3,2055,R1,heatpump,2045,23.00000000000
3,2059,R1,heatpump,2045,23.00000000000
4,2055,R1,heatpump,2050,31.00000000000
4,2059,R1,heatpump,2050,31.00000000000
4,2060,R1,heatpump,2050,31.00000000000
4,2064,R1,heatpump,2050,31.00000000000
7,2050,R2,heatpump,2040,31.00000000000
7,2054,R2,heatpump,2040,31.00000000000
8,2050,R2,heatpump,2045,23.00000000000
8,2054,R2,heatpump,2045,23.00000000000
8,2055,R2,heatpump,2045,23.00000000000
8,2059,R2,heatpump,2045,23.00000000000
9,2055,R2,heatpump,2050,31.00000000000
9,2059,R2,heatpump,2050,31.00000000000
9,2060,R2,heatpump,2050,31.00000000000
9,2064,R2,heatpump,2050,31.00000000000
