,asset,year,region,technology,installed,capacity
0,0,2045,R1,gasCCGT,2025,4.06670000000
1,0,2049,R1,gasCCGT,2025,4.06670000000
2,0,2050,R1,gasCCGT,2025,4.06670000000
3,0,2059,R1,gasCCGT,2025,4.06670000000
4,0,2060,R1,gasCCGT,2025,4.06670000000
5,0,2064,R1,gasCCGT,2025,4.06670000000
11,1,2045,R1,solarPV,2020,6.75000000000
12,1,2049,R1,solarPV,2020,6.75000000000
22,2,2045,R1,solarPV,2030,6.00000000000
23,2,2049,R1,solarPV,2030,6.00000000000
24,2,2050,R1,solarPV,2030,6.00000000000
25,2,2059,R1,solarPV,2030,6.00000000000
33,3,2045,R1,solarPV,2035,9.19000000000
34,3,2049,R1,solarPV,2035,9.19000000000
35,3,2050,R1,solarPV,2035,9.19000000000
36,3,2059,R1,solarPV,2035,9.19000000000
37,3,2060,R1,solarPV,2035,9.19000000000
38,3,2064,R1,solarPV,2035,9.19000000000
44,4,2045,R1,solarPV,2040,6.00000000000
45,4,2049,R1,solarPV,2040,6.00000000000
46,4,2050,R1,solarPV,2040,6.00000000000
47,4,2059,R1,solarPV,2040,6.00000000000
48,4,2060,R1,solarPV,2040,6.00000000000
49,4,2064,R1,solarPV,2040,6.00000000000
50,4,2065,R1,solarPV,2040,6.00000000000
51,4,2069,R1,solarPV,2040,6.00000000000
57,5,2050,R1,solarPV,2045,16.91000000000
58,5,2059,R1,solarPV,2045,16.91000000000
59,5,2060,R1,solarPV,2045,16.91000000000
60,5,2064,R1,solarPV,2045,16.91000000000
61,5,2065,R1,solarPV,2045,16.91000000000
62,5,2069,R1,solarPV,2045,16.91000000000
63,5,2070,R1,solarPV,2045,16.91000000000
64,5,2074,R1,solarPV,2045,16.91000000000
66,6,2045,R1,windturbine,2020,10.00000000000
67,6,2049,R1,windturbine,2020,10.00000000000
79,7,2050,R1,windturbine,2045,6.75000000000
80,7,2059,R1,windturbine,2045,6.75000000000
81,7,2060,R1,windturbine,2045,6.75000000000
82,7,2064,R1,windturbine,2045,6.75000000000
83,7,2065,R1,windturbine,2045,6.75000000000
84,7,2069,R1,windturbine,2045,6.75000000000
85,7,2070,R1,windturbine,2045,6.75000000000
86,7,2074,R1,windturbine,2045,6.75000000000
