timeslice,commodity,year,asset,region,installed,technology,month,day,hour,supply
0,heat,2050,2,R1,2040,gasboiler,all-year,all-week,night,1.50000000000
0,heat,2050,3,R1,2040,heatpump,all-year,all-week,night,1.50000000000
0,heat,2055,4,R1,2050,gasboiler,all-year,all-week,night,1.50000000000
0,heat,2055,5,R1,2050,heatpump,all-year,all-week,night,1.50000000000
0,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,night,97.06500000000
0,CO2f,2055,4,R1,2050,gasboiler,all-year,all-week,night,97.06500000000
1,heat,2050,2,R1,2040,gasboiler,all-year,all-week,morning,2.25000000000
1,heat,2050,3,R1,2040,heatpump,all-year,all-week,morning,2.25000000000
1,heat,2055,4,R1,2050,gasboiler,all-year,all-week,morning,2.25000000000
1,heat,2055,5,R1,2050,heatpump,all-year,all-week,morning,2.25000000000
1,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,morning,145.59750000000
1,CO2f,2055,4,R1,2050,gasboiler,all-year,all-week,morning,145.59750000000
2,heat,2050,2,R1,2040,gasboiler,all-year,all-week,afternoon,1.50000000000
2,heat,2050,3,R1,2040,heatpump,all-year,all-week,afternoon,1.50000000000
2,heat,2055,4,R1,2050,gasboiler,all-year,all-week,afternoon,1.50000000000
2,heat,2055,5,R1,2050,heatpump,all-year,all-week,afternoon,1.50000000000
2,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,afternoon,97.06500000000
2,CO2f,2055,4,R1,2050,gasboiler,all-year,all-week,afternoon,97.06500000000
3,heat,2050,2,R1,2040,gasboiler,all-year,all-week,early-peak,2.25000000000
3,heat,2050,3,R1,2040,heatpump,all-year,all-week,early-peak,2.25000000000
3,heat,2055,4,R1,2050,gasboiler,all-year,all-week,early-peak,2.25000000000
3,heat,2055,5,R1,2050,heatpump,all-year,all-week,early-peak,2.25000000000
3,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,early-peak,145.59750000000
3,CO2f,2055,4,R1,2050,gasboiler,all-year,all-week,early-peak,145.59750000000
4,heat,2050,2,R1,2040,gasboiler,all-year,all-week,late-peak,4.50000000000
4,heat,2050,3,R1,2040,heatpump,all-year,all-week,late-peak,4.50000000000
4,heat,2055,4,R1,2050,gasboiler,all-year,all-week,late-peak,4.50000000000
4,heat,2055,5,R1,2050,heatpump,all-year,all-week,late-peak,4.50000000000
4,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,late-peak,291.19500000000
4,CO2f,2055,4,R1,2050,gasboiler,all-year,all-week,late-peak,291.19500000000
5,heat,2050,2,R1,2040,gasboiler,all-year,all-week,evening,3.00000000000
5,heat,2050,3,R1,2040,heatpump,all-year,all-week,evening,3.00000000000
5,heat,2055,4,R1,2050,gasboiler,all-year,all-week,evening,3.00000000000
5,heat,2055,5,R1,2050,heatpump,all-year,all-week,evening,3.00000000000
5,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,evening,194.13000000000
5,CO2f,2055,4,R1,2050,gasboiler,all-year,all-week,evening,194.13000000000
