RegionName,Attribute,Time,electricity,gas,heat,CO2f,wind
Unit,-,Year,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/PJ,MUS$2010/kt,MUS$2010/PJ
R1,CommodityPrice,2010,12.61111111,3.8972,0,0,0
R1,CommodityPrice,2015,13.14814806,4.307,0,0,0
R1,CommodityPrice,2020,13.98148139,4.7168,0,0,0
R1,CommodityPrice,2025,16.27777778,5.1266,0,0,0
R1,CommodityPrice,2030,17.1574075,5.5364,0,0,0
R1,CommodityPrice,2035,17.50925917,5.9462,0,0,0
R1,CommodityPrice,2040,18.05555556,6.3559,0,0,0
R1,CommodityPrice,2045,20.37962972,6.7657,0,0,0
R1,CommodityPrice,2050,21.5,7.1755,0,0,0
R1,CommodityPrice,2055,22.12037028,7.1755,0,0,0
R1,CommodityPrice,2060,22.00925917,7.1755,0,0,0
R1,CommodityPrice,2065,22.14814806,7.1755,0,0,0
R1,CommodityPrice,2070,22,7.1755,0,0,0
R1,CommodityPrice,2075,22.11111111,7.1755,0,0,0
R1,CommodityPrice,2080,21.92592583,7.1755,0,0,0
R1,CommodityPrice,2085,21.51851861,7.1755,0,0,0
R1,CommodityPrice,2090,21.31481472,7.1755,0,0,0
R1,CommodityPrice,2095,21.03703694,7.1755,0,0,0
R1,CommodityPrice,2100,20.46296306,7.1755,0,0,0
R2,CommodityPrice,2010,17.33333333,3.8972,0,0,0
R2,CommodityPrice,2015,15.66666667,4.307,0,0,0
R2,CommodityPrice,2020,19.13888889,4.7168,0,0,0
R2,CommodityPrice,2025,22.86111111,5.1266,0,0,0
R2,CommodityPrice,2030,24.08333333,5.5364,0,0,0
R2,CommodityPrice,2035,20.63888889,5.9462,0,0,0
R2,CommodityPrice,2040,21.32407417,6.3559,0,0,0
R2,CommodityPrice,2045,20.38888889,6.7657,0,0,0
R2,CommodityPrice,2050,19.37037028,7.1755,0,0,0
R2,CommodityPrice,2055,19.13888889,7.1755,0,0,0
R2,CommodityPrice,2060,21.0925925,7.1755,0,0,0
R2,CommodityPrice,2065,22.89814806,7.1755,0,0,0
R2,CommodityPrice,2070,22.94444444,7.1755,0,0,0
R2,CommodityPrice,2075,21.60185194,7.1755,0,0,0
R2,CommodityPrice,2080,21.93518528,7.1755,0,0,0
R2,CommodityPrice,2085,21.87962972,7.1755,0,0,0
R2,CommodityPrice,2090,22.06481472,7.1755,0,0,0
R2,CommodityPrice,2095,23.08333333,7.1755,0,0,0
R2,CommodityPrice,2100,23.82407417,7.1755,0,0,0
