timeslice,commodity,region,year,asset,installed,technology,month,day,hour,supply
0,heat,R1,2026,1,2020,heatpump,all-year,all-week,night,0.30050000000
0,heat,R1,2026,2,2022,heatpump,all-year,all-week,night,0.04760000000
0,heat,R1,2026,3,2024,gasboiler,all-year,all-week,night,0.04840000000
0,heat,R1,2026,4,2024,heatpump,all-year,all-week,night,0.10330000000
0,heat,R1,2026,7,2020,heatpump,all-year,all-week,night,0.30050000000
0,heat,R1,2026,8,2022,heatpump,all-year,all-week,night,0.04760000000
0,heat,R1,2026,9,2024,gasboiler,all-year,all-week,night,0.04840000000
0,heat,R1,2026,10,2024,heatpump,all-year,all-week,night,0.10330000000
0,heat,R1,2028,1,2020,heatpump,all-year,all-week,night,0.30050000000
0,heat,R1,2028,2,2022,heatpump,all-year,all-week,night,0.04760000000
0,heat,R1,2028,3,2024,gasboiler,all-year,all-week,night,0.04840000000
0,heat,R1,2028,4,2024,heatpump,all-year,all-week,night,0.10330000000
0,heat,R1,2028,5,2026,heatpump,all-year,all-week,night,0.04760000000
0,heat,R1,2028,7,2020,heatpump,all-year,all-week,night,0.30050000000
0,heat,R1,2028,8,2022,heatpump,all-year,all-week,night,0.04760000000
0,heat,R1,2028,9,2024,gasboiler,all-year,all-week,night,0.04840000000
0,heat,R1,2028,10,2024,heatpump,all-year,all-week,night,0.10330000000
0,heat,R1,2028,11,2026,heatpump,all-year,all-week,night,0.04760000000
0,heat,R2,2026,1,2020,heatpump,all-year,all-week,night,0.30050000000
0,heat,R2,2026,2,2022,heatpump,all-year,all-week,night,0.04760000000
0,heat,R2,2026,3,2024,gasboiler,all-year,all-week,night,0.04840000000
0,heat,R2,2026,4,2024,heatpump,all-year,all-week,night,0.10330000000
0,heat,R2,2026,7,2020,heatpump,all-year,all-week,night,0.30050000000
0,heat,R2,2026,8,2022,heatpump,all-year,all-week,night,0.04760000000
0,heat,R2,2026,9,2024,gasboiler,all-year,all-week,night,0.04840000000
0,heat,R2,2026,10,2024,heatpump,all-year,all-week,night,0.10330000000
0,heat,R2,2028,1,2020,heatpump,all-year,all-week,night,0.30050000000
0,heat,R2,2028,2,2022,heatpump,all-year,all-week,night,0.04760000000
0,heat,R2,2028,3,2024,gasboiler,all-year,all-week,night,0.04840000000
0,heat,R2,2028,4,2024,heatpump,all-year,all-week,night,0.10330000000
0,heat,R2,2028,5,2026,heatpump,all-year,all-week,night,0.04760000000
0,heat,R2,2028,7,2020,heatpump,all-year,all-week,night,0.30050000000
0,heat,R2,2028,8,2022,heatpump,all-year,all-week,night,0.04760000000
0,heat,R2,2028,9,2024,gasboiler,all-year,all-week,night,0.04840000000
0,heat,R2,2028,10,2024,heatpump,all-year,all-week,night,0.10330000000
0,heat,R2,2028,11,2026,heatpump,all-year,all-week,night,0.04760000000
0,CO2f,R1,2026,3,2024,gasboiler,all-year,all-week,night,3.13360000000
0,CO2f,R1,2026,9,2024,gasboiler,all-year,all-week,night,3.13360000000
0,CO2f,R1,2028,3,2024,gasboiler,all-year,all-week,night,3.13360000000
0,CO2f,R1,2028,9,2024,gasboiler,all-year,all-week,night,3.13360000000
0,CO2f,R2,2026,3,2024,gasboiler,all-year,all-week,night,3.13360000000
0,CO2f,R2,2026,9,2024,gasboiler,all-year,all-week,night,3.13360000000
0,CO2f,R2,2028,3,2024,gasboiler,all-year,all-week,night,3.13360000000
0,CO2f,R2,2028,9,2024,gasboiler,all-year,all-week,night,3.13360000000
1,heat,R1,2026,1,2020,heatpump,all-year,all-week,morning,0.45070000000
1,heat,R1,2026,2,2022,heatpump,all-year,all-week,morning,0.07140000000
1,heat,R1,2026,3,2024,gasboiler,all-year,all-week,morning,0.07260000000
1,heat,R1,2026,4,2024,heatpump,all-year,all-week,morning,0.15490000000
1,heat,R1,2026,7,2020,heatpump,all-year,all-week,morning,0.45070000000
1,heat,R1,2026,8,2022,heatpump,all-year,all-week,morning,0.07140000000
1,heat,R1,2026,9,2024,gasboiler,all-year,all-week,morning,0.07260000000
1,heat,R1,2026,10,2024,heatpump,all-year,all-week,morning,0.15490000000
1,heat,R1,2028,1,2020,heatpump,all-year,all-week,morning,0.45070000000
1,heat,R1,2028,2,2022,heatpump,all-year,all-week,morning,0.07140000000
1,heat,R1,2028,3,2024,gasboiler,all-year,all-week,morning,0.07260000000
1,heat,R1,2028,4,2024,heatpump,all-year,all-week,morning,0.15490000000
1,heat,R1,2028,5,2026,heatpump,all-year,all-week,morning,0.07140000000
1,heat,R1,2028,7,2020,heatpump,all-year,all-week,morning,0.45070000000
1,heat,R1,2028,8,2022,heatpump,all-year,all-week,morning,0.07140000000
1,heat,R1,2028,9,2024,gasboiler,all-year,all-week,morning,0.07260000000
1,heat,R1,2028,10,2024,heatpump,all-year,all-week,morning,0.15490000000
