timeslice,commodity,year,asset,region,installed,technology,month,day,hour,supply
0,CO2f,2050,5,R1,2030,procammonia_1,winter,all-week,all-day,20879.16640000000
0,CO2f,2050,6,R1,2035,procammonia_1,winter,all-week,all-day,18228.27250000000
0,CO2f,2050,7,R1,2040,procammonia_1,winter,all-week,all-day,7892.26240000000
0,CO2f,2050,8,R1,2045,procammonia_1,winter,all-week,all-day,7828.40920000000
0,CO2f,2055,6,R1,2035,procammonia_1,winter,all-week,all-day,18228.27250000000
0,CO2f,2055,7,R1,2040,procammonia_1,winter,all-week,all-day,7892.26240000000
0,CO2f,2055,8,R1,2045,procammonia_1,winter,all-week,all-day,7828.40920000000
0,CO2f,2055,9,R1,2050,procammonia_1,winter,all-week,all-day,20214.22470000000
0,ammonia,2050,5,R1,2030,procammonia_1,winter,all-week,all-day,5.16890000000
0,ammonia,2050,6,R1,2035,procammonia_1,winter,all-week,all-day,4.54880000000
0,ammonia,2050,7,R1,2040,procammonia_1,winter,all-week,all-day,1.98540000000
0,ammonia,2050,8,R1,2045,procammonia_1,winter,all-week,all-day,1.98540000000
0,ammonia,2055,6,R1,2035,procammonia_1,winter,all-week,all-day,4.54880000000
0,ammonia,2055,7,R1,2040,procammonia_1,winter,all-week,all-day,1.98540000000
0,ammonia,2055,8,R1,2045,procammonia_1,winter,all-week,all-day,1.98540000000
0,ammonia,2055,9,R1,2050,procammonia_1,winter,all-week,all-day,5.16890000000
1,CO2f,2050,5,R1,2030,procammonia_1,summer,all-week,all-day,21511.86840000000
1,CO2f,2050,6,R1,2035,procammonia_1,summer,all-week,all-day,18780.64440000000
1,CO2f,2050,7,R1,2040,procammonia_1,summer,all-week,all-day,8131.42190000000
1,CO2f,2050,8,R1,2045,procammonia_1,summer,all-week,all-day,8065.63370000000
1,CO2f,2055,6,R1,2035,procammonia_1,summer,all-week,all-day,18780.64440000000
1,CO2f,2055,7,R1,2040,procammonia_1,summer,all-week,all-day,8131.42190000000
1,CO2f,2055,8,R1,2045,procammonia_1,summer,all-week,all-day,8065.63370000000
1,CO2f,2055,9,R1,2050,procammonia_1,summer,all-week,all-day,20826.77700000000
1,ammonia,2050,5,R1,2030,procammonia_1,summer,all-week,all-day,5.32550000000
1,ammonia,2050,6,R1,2035,procammonia_1,summer,all-week,all-day,4.68670000000
1,ammonia,2050,7,R1,2040,procammonia_1,summer,all-week,all-day,2.04560000000
1,ammonia,2050,8,R1,2045,procammonia_1,summer,all-week,all-day,2.04560000000
1,ammonia,2055,6,R1,2035,procammonia_1,summer,all-week,all-day,4.68670000000
1,ammonia,2055,7,R1,2040,procammonia_1,summer,all-week,all-day,2.04560000000
1,ammonia,2055,8,R1,2045,procammonia_1,summer,all-week,all-day,2.04560000000
1,ammonia,2055,9,R1,2050,procammonia_1,summer,all-week,all-day,5.32550000000
2,CO2f,2050,5,R1,2030,procammonia_1,spring-autumn,all-week,all-day,20879.16640000000
2,CO2f,2050,6,R1,2035,procammonia_1,spring-autumn,all-week,all-day,18228.27250000000
2,CO2f,2050,7,R1,2040,procammonia_1,spring-autumn,all-week,all-day,7892.26240000000
2,CO2f,2050,8,R1,2045,procammonia_1,spring-autumn,all-week,all-day,7828.40920000000
2,CO2f,2055,6,R1,2035,procammonia_1,spring-autumn,all-week,all-day,18228.27250000000
2,CO2f,2055,7,R1,2040,procammonia_1,spring-autumn,all-week,all-day,7892.26240000000
2,CO2f,2055,8,R1,2045,procammonia_1,spring-autumn,all-week,all-day,7828.40920000000
2,CO2f,2055,9,R1,2050,procammonia_1,spring-autumn,all-week,all-day,20214.22470000000
2,ammonia,2050,5,R1,2030,procammonia_1,spring-autumn,all-week,all-day,5.16890000000
2,ammonia,2050,6,R1,2035,procammonia_1,spring-autumn,all-week,all-day,4.54880000000
2,ammonia,2050,7,R1,2040,procammonia_1,spring-autumn,all-week,all-day,1.98540000000
2,ammonia,2050,8,R1,2045,procammonia_1,spring-autumn,all-week,all-day,1.98540000000
2,ammonia,2055,6,R1,2035,procammonia_1,spring-autumn,all-week,all-day,4.54880000000
2,ammonia,2055,7,R1,2040,procammonia_1,spring-autumn,all-week,all-day,1.98540000000
2,ammonia,2055,8,R1,2045,procammonia_1,spring-autumn,all-week,all-day,1.98540000000
2,ammonia,2055,9,R1,2050,procammonia_1,spring-autumn,all-week,all-day,5.16890000000
