region,timeslice,commodity,year,month,day,hour,supply
R1,0,CO2f,2035,all-year,all-week,night,27.79410000000
R1,0,CO2f,2040,all-year,all-week,night,16.32680000000
R1,0,cook,2035,all-year,all-week,night,2.00000000000
R1,0,cook,2040,all-year,all-week,night,2.33330000000
R1,0,heat,2035,all-year,all-week,night,2.00000000000
R1,0,heat,2040,all-year,all-week,night,2.33330000000
R1,1,CO2f,2035,all-year,all-week,morning,41.69120000000
R1,1,CO2f,2040,all-year,all-week,morning,24.49020000000
R1,1,cook,2035,all-year,all-week,morning,3.00000000000
R1,1,cook,2040,all-year,all-week,morning,3.50000000000
R1,1,heat,2035,all-year,all-week,morning,3.00000000000
R1,1,heat,2040,all-year,all-week,morning,3.50000000000
R1,2,CO2f,2035,all-year,all-week,afternoon,27.79410000000
R1,2,CO2f,2040,all-year,all-week,afternoon,16.32680000000
R1,2,cook,2035,all-year,all-week,afternoon,2.00000000000
R1,2,cook,2040,all-year,all-week,afternoon,2.33330000000
R1,2,heat,2035,all-year,all-week,afternoon,2.00000000000
R1,2,heat,2040,all-year,all-week,afternoon,2.33330000000
R1,3,CO2f,2035,all-year,all-week,early-peak,41.69120000000
R1,3,CO2f,2040,all-year,all-week,early-peak,24.49020000000
R1,3,cook,2035,all-year,all-week,early-peak,3.00000000000
R1,3,cook,2040,all-year,all-week,early-peak,3.50000000000
R1,3,heat,2035,all-year,all-week,early-peak,3.00000000000
R1,3,heat,2040,all-year,all-week,early-peak,3.50000000000
R1,4,CO2f,2035,all-year,all-week,late-peak,83.38240000000
R1,4,CO2f,2040,all-year,all-week,late-peak,48.98040000000
R1,4,cook,2035,all-year,all-week,late-peak,6.00000000000
R1,4,cook,2040,all-year,all-week,late-peak,7.00000000000
R1,4,heat,2035,all-year,all-week,late-peak,6.00000000000
R1,4,heat,2040,all-year,all-week,late-peak,7.00000000000
R1,5,CO2f,2035,all-year,all-week,evening,55.58820000000
R1,5,CO2f,2040,all-year,all-week,evening,32.65360000000
R1,5,cook,2035,all-year,all-week,evening,4.00000000000
R1,5,cook,2040,all-year,all-week,evening,4.66670000000
R1,5,heat,2035,all-year,all-week,evening,4.00000000000
R1,5,heat,2040,all-year,all-week,evening,4.66670000000
