asset,year,region,installed,technology,capacity
0,2022,R1,2020,electric_stove,1.20000000000
0,2024,R1,2020,electric_stove,0.40000000000
1,2022,R1,2020,gas_stove,35.33330000000
1,2024,R1,2020,gas_stove,31.33330000000
1,2025,R1,2020,gas_stove,29.33330000000
1,2027,R1,2020,gas_stove,19.33330000000
1,2030,R1,2020,gas_stove,19.33330000000
1,2031,R1,2020,gas_stove,19.33330000000
2,2022,R1,2020,gasboiler,16.00000000000
2,2024,R1,2020,gasboiler,12.00000000000
2,2025,R1,2020,gasboiler,10.00000000000
3,2022,R1,2020,heatpump,22.00000000000
3,2024,R1,2020,heatpump,22.00000000000
3,2025,R1,2020,heatpump,22.00000000000
3,2027,R1,2020,heatpump,22.00000000000
3,2030,R1,2020,heatpump,22.00000000000
3,2031,R1,2020,heatpump,22.00000000000
5,2024,R1,2022,gas_stove,6.13330000000
5,2025,R1,2022,gas_stove,6.13330000000
5,2027,R1,2022,gas_stove,6.13330000000
5,2030,R1,2022,gas_stove,6.13330000000
5,2031,R1,2022,gas_stove,6.13330000000
5,2032,R1,2022,gas_stove,6.13330000000
5,2033,R1,2022,gas_stove,6.13330000000
7,2024,R1,2022,heatpump,7.20000000000
7,2025,R1,2022,heatpump,7.20000000000
7,2027,R1,2022,heatpump,7.20000000000
7,2030,R1,2022,heatpump,7.20000000000
7,2031,R1,2022,heatpump,7.20000000000
7,2032,R1,2022,heatpump,7.20000000000
7,2033,R1,2022,heatpump,7.20000000000
8,2022,R2,2020,electric_stove,0.60000000000
8,2024,R2,2020,electric_stove,0.20000000000
9,2022,R2,2020,gas_stove,24.33330000000
9,2024,R2,2020,gas_stove,22.33330000000
9,2025,R2,2020,gas_stove,21.33330000000
9,2027,R2,2020,gas_stove,16.33330000000
9,2030,R2,2020,gas_stove,16.33330000000
9,2031,R2,2020,gas_stove,16.33330000000
10,2022,R2,2020,gasboiler,8.00000000000
10,2024,R2,2020,gasboiler,6.00000000000
10,2025,R2,2020,gasboiler,5.00000000000
11,2022,R2,2020,heatpump,27.00000000000
11,2024,R2,2020,heatpump,27.00000000000
11,2025,R2,2020,heatpump,27.00000000000
11,2027,R2,2020,heatpump,27.00000000000
11,2030,R2,2020,heatpump,27.00000000000
11,2031,R2,2020,heatpump,27.00000000000
13,2024,R2,2022,gas_stove,0.40000000000
13,2025,R2,2022,gas_stove,0.40000000000
13,2027,R2,2022,gas_stove,0.40000000000
13,2030,R2,2022,gas_stove,0.40000000000
13,2031,R2,2022,gas_stove,0.40000000000
13,2032,R2,2022,gas_stove,0.40000000000
13,2033,R2,2022,gas_stove,0.40000000000
15,2024,R2,2022,heatpump,5.20000000000
15,2025,R2,2022,heatpump,5.00000000000
15,2027,R2,2022,heatpump,5.00000000000
15,2030,R2,2022,heatpump,5.00000000000
15,2031,R2,2022,heatpump,5.00000000000
15,2032,R2,2022,heatpump,5.00000000000
15,2033,R2,2022,heatpump,5.20000000000
