asset,year,region,technology,installed,capacity
0,2030,R1,gasCCGT,2020,3.00000000000
0,2035,R1,gasCCGT,2020,3.00000000000
0,2040,R1,gasCCGT,2020,3.00000000000
0,2045,R1,gasCCGT,2020,3.00000000000
0,2049,R1,gasCCGT,2020,3.00000000000
0,2050,R1,gasCCGT,2020,3.00000000000
0,2054,R1,gasCCGT,2020,3.00000000000
0,2055,R1,gasCCGT,2020,3.00000000000
0,2059,R1,gasCCGT,2020,3.00000000000
1,2030,R1,gasCCGT,2025,4.06670000000
1,2035,R1,gasCCGT,2025,4.06670000000
1,2040,R1,gasCCGT,2025,4.06670000000
1,2045,R1,gasCCGT,2025,4.06670000000
1,2049,R1,gasCCGT,2025,4.06670000000
1,2050,R1,gasCCGT,2025,4.06670000000
1,2054,R1,gasCCGT,2025,4.06670000000
1,2055,R1,gasCCGT,2025,4.06670000000
1,2059,R1,gasCCGT,2025,4.06670000000
1,2060,R1,gasCCGT,2025,4.06670000000
1,2064,R1,gasCCGT,2025,4.06670000000
3,2030,R1,windturbine,2020,10.00000000000
3,2035,R1,windturbine,2020,10.00000000000
3,2040,R1,windturbine,2020,10.00000000000
3,2045,R1,windturbine,2020,10.00000000000
3,2049,R1,windturbine,2020,10.00000000000
5,2035,R1,windturbine,2030,6.00000000000
5,2040,R1,windturbine,2030,6.00000000000
5,2045,R1,windturbine,2030,6.00000000000
5,2049,R1,windturbine,2030,6.00000000000
5,2050,R1,windturbine,2030,6.00000000000
5,2054,R1,windturbine,2030,6.00000000000
5,2055,R1,windturbine,2030,6.00000000000
5,2059,R1,windturbine,2030,6.00000000000
