asset,year,region,technology,installed,capacity
0,2035,USA,gasCCGT,2020,0.00000000002
0,2040,USA,gasCCGT,2020,0.00000000002
0,2045,USA,gasCCGT,2020,0.00000000002
0,2049,USA,gasCCGT,2020,0.00000000002
0,2050,USA,gasCCGT,2020,0.00000000002
0,2054,USA,gasCCGT,2020,0.00000000002
0,2055,USA,gasCCGT,2020,0.00000000002
0,2059,USA,gasCCGT,2020,0.00000000002
0,2060,USA,gasCCGT,2020,0.00000000000
0,2064,USA,gasCCGT,2020,0.00000000000
0,2065,USA,gasCCGT,2020,0.00000000000
0,2069,USA,gasCCGT,2020,0.00000000000
0,2070,USA,gasCCGT,2020,0.00000000000
0,2074,USA,gasCCGT,2020,0.00000000000
0,2075,USA,gasCCGT,2020,0.00000000000
1,2035,USA,gasCCGT,2025,0.00000000002
1,2040,USA,gasCCGT,2025,0.00000000002
1,2045,USA,gasCCGT,2025,0.00000000002
1,2049,USA,gasCCGT,2025,0.00000000002
1,2050,USA,gasCCGT,2025,0.00000000002
1,2054,USA,gasCCGT,2025,0.00000000002
1,2055,USA,gasCCGT,2025,0.00000000002
1,2059,USA,gasCCGT,2025,0.00000000002
1,2060,USA,gasCCGT,2025,0.00000000002
1,2064,USA,gasCCGT,2025,0.00000000002
1,2065,USA,gasCCGT,2025,0.00000000000
1,2069,USA,gasCCGT,2025,0.00000000000
1,2070,USA,gasCCGT,2025,0.00000000000
1,2074,USA,gasCCGT,2025,0.00000000000
1,2075,USA,gasCCGT,2025,0.00000000000
2,2035,USA,gasCCGT,2030,0.00000000001
2,2040,USA,gasCCGT,2030,0.00000000001
2,2045,USA,gasCCGT,2030,0.00000000001
2,2049,USA,gasCCGT,2030,0.00000000001
2,2050,USA,gasCCGT,2030,0.00000000001
2,2054,USA,gasCCGT,2030,0.00000000001
2,2055,USA,gasCCGT,2030,0.00000000001
2,2059,USA,gasCCGT,2030,0.00000000001
2,2060,USA,gasCCGT,2030,0.00000000001
2,2064,USA,gasCCGT,2030,0.00000000001
2,2065,USA,gasCCGT,2030,0.00000000001
2,2069,USA,gasCCGT,2030,0.00000000001
2,2070,USA,gasCCGT,2030,0.00000000000
2,2074,USA,gasCCGT,2030,0.00000000000
2,2075,USA,gasCCGT,2030,0.00000000000
3,2035,USA,gasCCGT,2035,0.00000000000
3,2040,USA,gasCCGT,2035,0.00000000011
3,2045,USA,gasCCGT,2035,0.00000000000
3,2049,USA,gasCCGT,2035,0.00000000000
3,2050,USA,gasCCGT,2035,0.00000000000
3,2054,USA,gasCCGT,2035,0.00000000000
3,2055,USA,gasCCGT,2035,0.00000000000
3,2059,USA,gasCCGT,2035,0.00000000000
3,2060,USA,gasCCGT,2035,0.00000000000
3,2064,USA,gasCCGT,2035,0.00000000011
3,2065,USA,gasCCGT,2035,0.00000000011
3,2069,USA,gasCCGT,2035,0.00000000000
3,2070,USA,gasCCGT,2035,0.00000000000
3,2074,USA,gasCCGT,2035,0.00000000011
3,2075,USA,gasCCGT,2035,0.00000000000
4,2035,USA,windturbine,2020,16.75136796496
4,2040,USA,windturbine,2020,16.75136796496
4,2045,USA,windturbine,2020,16.75136796496
4,2049,USA,windturbine,2020,16.75136796496
4,2050,USA,windturbine,2020,0.00000000000
4,2054,USA,windturbine,2020,0.00000000000
4,2055,USA,windturbine,2020,0.00000000000
4,2059,USA,windturbine,2020,0.00000000000
4,2060,USA,windturbine,2020,0.00000000000
4,2064,USA,windturbine,2020,0.00000000000
4,2065,USA,windturbine,2020,0.00000000000
4,2069,USA,windturbine,2020,0.00000000000
4,2070,USA,windturbine,2020,0.00000000000
4,2074,USA,windturbine,2020,0.00000000000
4,2075,USA,windturbine,2020,0.00000000000
5,2035,USA,windturbine,2025,13.25079184862
5,2040,USA,windturbine,2025,13.25079184862
