timeslice,commodity,year,asset,region,month,day,hour,technology,installed,supply
0,heat,2035,0,R1,all-year,all-week,night,gasboiler,2025,0.22780000000
0,heat,2035,2,R1,all-year,all-week,night,heatpump,2025,0.38330000000
0,heat,2035,3,R1,all-year,all-week,night,heatpump,2030,1.38890000000
0,heat,2040,1,R1,all-year,all-week,night,gasboiler,2035,0.05060000000
0,heat,2040,3,R1,all-year,all-week,night,heatpump,2030,1.38890000000
0,heat,2040,4,R1,all-year,all-week,night,heatpump,2035,0.89390000000
0,CO2f,2035,0,R1,all-year,all-week,night,gasboiler,2025,14.73950000000
0,CO2f,2040,1,R1,all-year,all-week,night,gasboiler,2035,3.27140000000
1,heat,2035,0,R1,all-year,all-week,morning,gasboiler,2025,0.34170000000
1,heat,2035,2,R1,all-year,all-week,morning,heatpump,2025,0.57500000000
1,heat,2035,3,R1,all-year,all-week,morning,heatpump,2030,2.08330000000
1,heat,2040,1,R1,all-year,all-week,morning,gasboiler,2035,0.07580000000
1,heat,2040,3,R1,all-year,all-week,morning,heatpump,2030,2.08330000000
1,heat,2040,4,R1,all-year,all-week,morning,heatpump,2035,1.34080000000
1,CO2f,2035,0,R1,all-year,all-week,morning,gasboiler,2025,22.10920000000
1,CO2f,2040,1,R1,all-year,all-week,morning,gasboiler,2035,4.90720000000
2,heat,2035,0,R1,all-year,all-week,afternoon,gasboiler,2025,0.22780000000
2,heat,2035,2,R1,all-year,all-week,afternoon,heatpump,2025,0.38330000000
2,heat,2035,3,R1,all-year,all-week,afternoon,heatpump,2030,1.38890000000
2,heat,2040,1,R1,all-year,all-week,afternoon,gasboiler,2035,0.05060000000
2,heat,2040,3,R1,all-year,all-week,afternoon,heatpump,2030,1.38890000000
2,heat,2040,4,R1,all-year,all-week,afternoon,heatpump,2035,0.89390000000
2,CO2f,2035,0,R1,all-year,all-week,afternoon,gasboiler,2025,14.73950000000
2,CO2f,2040,1,R1,all-year,all-week,afternoon,gasboiler,2035,3.27140000000
3,heat,2035,0,R1,all-year,all-week,early-peak,gasboiler,2025,0.34170000000
3,heat,2035,2,R1,all-year,all-week,early-peak,heatpump,2025,0.57500000000
3,heat,2035,3,R1,all-year,all-week,early-peak,heatpump,2030,2.08330000000
3,heat,2040,1,R1,all-year,all-week,early-peak,gasboiler,2035,0.07580000000
3,heat,2040,3,R1,all-year,all-week,early-peak,heatpump,2030,2.08330000000
3,heat,2040,4,R1,all-year,all-week,early-peak,heatpump,2035,1.34080000000
3,CO2f,2035,0,R1,all-year,all-week,early-peak,gasboiler,2025,22.10920000000
3,CO2f,2040,1,R1,all-year,all-week,early-peak,gasboiler,2035,4.90720000000
4,heat,2035,0,R1,all-year,all-week,late-peak,gasboiler,2025,0.68330000000
4,heat,2035,2,R1,all-year,all-week,late-peak,heatpump,2025,1.15000000000
4,heat,2035,3,R1,all-year,all-week,late-peak,heatpump,2030,4.16670000000
4,heat,2040,1,R1,all-year,all-week,late-peak,gasboiler,2035,0.15170000000
4,heat,2040,3,R1,all-year,all-week,late-peak,heatpump,2030,4.16670000000
4,heat,2040,4,R1,all-year,all-week,late-peak,heatpump,2035,2.68170000000
4,CO2f,2035,0,R1,all-year,all-week,late-peak,gasboiler,2025,44.21850000000
4,CO2f,2040,1,R1,all-year,all-week,late-peak,gasboiler,2035,9.81430000000
5,heat,2035,0,R1,all-year,all-week,evening,gasboiler,2025,0.45560000000
5,heat,2035,2,R1,all-year,all-week,evening,heatpump,2025,0.76670000000
5,heat,2035,3,R1,all-year,all-week,evening,heatpump,2030,2.77780000000
5,heat,2040,1,R1,all-year,all-week,evening,gasboiler,2035,0.10110000000
5,heat,2040,3,R1,all-year,all-week,evening,heatpump,2030,2.77780000000
5,heat,2040,4,R1,all-year,all-week,evening,heatpump,2035,1.78780000000
5,CO2f,2035,0,R1,all-year,all-week,evening,gasboiler,2025,29.47900000000
5,CO2f,2040,1,R1,all-year,all-week,evening,gasboiler,2035,6.54290000000
